,policy_id,incident_type_theft,policy_state_ca,policy_deductable,num_witnesses,policy_state_or,incident_month,customer_gender_female,num_insurers_past_5_years,customer_gender_male,total_claim_amount,authorities_contacted_police,incident_day,collision_type_side,customer_age,customer_education,driver_relationship_child,driver_relationship_spouse,injury_claim,incident_dow,collision_type_na,incident_severity,driver_relationship_self,num_claims_past_year,months_as_customer,auto_year,num_vehicles_involved,policy_state_nv,authorities_contacted_ambulance,num_injuries,policy_liability,police_report_available,driver_relationship_na,incident_type_breakin,authorities_contacted_none,authorities_contacted_fire,driver_relationship_other,policy_state_id,incident_hour,vehicle_claim,fraud,incident_type_collision,policy_annual_premium,policy_state_az,policy_state_wa,collision_type_rear,collision_type_front
23,82,0,1,750,2,0,4,0,2,1,15500.0,1,29,0,37,1,0,0,0.0,0,0,1,1,0,40,2018,2,0,0,0,0,0,0,0,0,0,0,0,12,15500.0,0,1,2700,0,0,0,1
24,84,0,0,750,0,0,1,1,3,0,8500.0,1,12,0,28,1,0,0,0.0,5,1,0,0,0,32,2014,1,0,0,0,0,0,1,1,0,0,0,0,13,8500.0,0,0,3000,1,0,0,0
25,1763,0,0,750,0,0,5,0,1,1,36500.0,1,21,0,19,1,0,0,14500.0,1,0,1,1,0,16,2015,2,0,0,1,1,0,0,0,0,0,0,0,15,22000.0,0,1,3000,1,0,0,1
26,1763,0,1,750,0,0,5,0,1,1,36500.0,1,21,0,63,3,0,0,14500.0,1,0,1,1,0,118,2019,2,0,0,1,0,0,0,0,0,0,0,0,15,22000.0,0,1,3000,0,0,0,1
27,98,0,1,750,0,0,12,0,1,1,6500.0,1,26,0,60,4,0,0,0.0,3,1,0,0,0,190,2017,1,0,0,0,0,0,1,1,0,0,0,0,14,6500.0,0,0,3000,0,0,0,0
28,105,0,1,750,0,0,4,0,1,1,12000.0,1,22,0,45,1,0,0,0.0,0,1,0,0,0,98,2012,1,0,0,0,2,0,1,1,0,0,0,0,18,12000.0,0,0,3000,0,0,0,0
29,105,0,0,750,0,0,4,0,1,1,12000.0,1,22,0,26,1,0,0,0.0,0,1,0,0,0,41,2014,1,0,0,0,2,0,1,1,0,0,0,0,18,12000.0,0,0,3000,0,1,0,0
30,3401,0,0,750,2,0,9,1,4,0,17000.0,1,9,1,40,3,0,0,0.0,0,0,1,0,0,15,2020,2,0,0,0,0,0,0,0,0,0,1,0,1,17000.0,0,1,3000,1,0,0,0
31,110,0,1,750,2,0,12,1,1,0,13000.0,0,25,0,38,3,0,0,0.0,2,0,0,0,0,93,2018,2,0,0,0,2,0,0,0,1,0,1,0,20,13000.0,1,1,2700,0,0,0,1
32,113,0,1,750,0,0,10,0,2,1,11500.0,1,27,0,23,3,0,0,0.0,6,1,0,0,0,50,2017,1,0,0,0,2,0,1,1,0,0,0,0,20,11500.0,0,0,3000,0,0,0,0
33,114,0,1,750,2,0,2,0,1,1,56500.0,1,20,0,70,4,0,0,25000.0,2,0,2,1,0,214,2018,2,0,0,1,1,0,0,0,0,0,0,0,5,31500.0,0,1,3000,0,0,0,1
34,114,0,0,750,2,0,2,0,1,1,56500.0,1,20,0,53,4,0,0,25000.0,2,0,2,1,0,176,2018,2,0,0,1,1,0,0,0,0,0,0,0,5,31500.0,0,1,3000,0,1,0,1
35,115,0,0,750,3,0,11,0,1,0,55000.0,1,17,1,48,3,0,0,25000.0,6,0,2,1,0,77,2015,3,0,0,1,3,1,0,0,0,0,0,0,7,30000.0,0,1,3000,0,1,0,0
36,116,0,1,750,5,0,3,0,1,1,40000.0,1,7,1,75,3,0,1,25000.0,3,0,1,0,0,157,2016,3,0,0,1,1,1,0,0,0,0,0,0,15,15000.0,0,1,3000,0,0,0,0
37,1780,0,1,750,0,0,2,1,1,0,56500.0,1,14,0,38,3,0,0,15000.0,3,0,2,1,0,131,2013,2,0,0,1,3,0,0,0,0,0,0,0,15,41500.0,0,1,3000,0,0,0,1
38,117,0,1,750,0,0,12,0,1,0,17000.0,0,4,1,60,3,0,0,0.0,2,0,0,1,0,166,2017,2,0,0,0,0,0,0,0,1,0,0,0,17,17000.0,0,1,3000,0,0,0,0
39,3412,0,0,750,0,1,12,1,1,0,7500.0,1,12,0,42,3,0,0,0.0,3,1,0,0,0,43,2020,1,0,0,0,3,1,1,1,0,0,0,0,18,7500.0,0,0,3000,0,0,0,0
40,118,0,0,750,5,0,10,1,5,0,64000.0,1,3,0,19,1,0,0,50000.0,3,0,1,1,0,3,2015,6,0,0,3,2,1,0,0,0,0,0,0,15,14000.0,0,1,2750,1,0,0,1
41,1784,0,1,750,0,0,12,0,1,1,11500.0,1,30,0,44,3,0,0,0.0,0,1,0,0,0,224,2014,1,0,0,0,2,0,1,1,0,0,0,0,11,11500.0,0,0,3000,0,0,0,0
42,133,0,1,750,1,0,12,0,1,1,21500.0,1,28,0,49,4,0,0,4500.0,5,0,1,1,0,138,2015,2,0,0,2,3,1,0,0,0,0,0,0,9,17000.0,0,1,3000,0,0,1,0
43,1799,0,0,750,1,0,8,1,1,0,37000.0,1,6,0,58,1,0,0,2000.0,1,0,2,1,0,221,2012,2,0,0,1,2,1,0,0,0,0,0,0,3,35000.0,0,1,3000,0,1,1,0
44,142,0,0,750,1,0,4,0,3,1,61000.0,1,24,1,28,3,0,0,25000.0,2,0,2,1,0,46,2016,3,0,0,1,1,1,0,0,0,0,0,0,19,36000.0,0,1,2900,0,1,0,0
45,143,1,1,750,0,0,9,0,1,1,23500.0,1,25,0,63,3,0,0,0.0,2,1,1,0,0,142,2017,1,0,0,0,3,0,1,0,0,0,0,0,15,23500.0,0,0,3000,0,0,0,0
46,151,0,1,750,0,0,7,0,3,1,20000.0,1,31,0,51,4,0,0,0.0,2,0,1,1,0,23,2020,2,0,0,0,2,1,0,0,0,0,0,0,6,20000.0,0,1,3000,0,0,1,0
47,1819,0,0,750,0,0,1,0,1,1,13500.0,1,16,0,57,3,0,0,0.0,2,1,0,0,0,125,2019,1,0,0,0,1,0,1,1,0,0,0,0,13,13500.0,0,0,3000,0,1,0,0
48,1845,1,1,750,0,0,5,0,1,1,29000.0,1,17,0,53,3,0,0,15000.0,4,1,1,0,0,185,2016,1,0,0,1,1,0,1,0,0,0,0,0,20,14000.0,0,0,2600,0,0,0,0
49,1845,1,1,750,0,0,5,0,1,1,29000.0,1,17,0,54,3,0,0,15000.0,4,1,1,0,0,108,2019,1,0,0,1,0,0,1,0,0,0,0,0,20,14000.0,0,0,3000,0,0,0,0
50,192,0,0,750,0,0,12,1,1,0,51500.0,1,13,0,29,3,0,0,30000.0,4,0,2,1,0,110,2020,2,0,0,1,3,0,0,0,0,0,0,0,16,21500.0,0,1,3000,0,1,0,1
51,194,0,1,750,1,0,9,0,1,1,8500.0,0,3,0,58,1,0,0,0.0,1,0,0,1,1,136,2015,2,0,0,0,0,0,0,0,1,0,0,0,6,8500.0,0,1,3000,0,0,1,0
52,1851,0,1,750,2,0,3,0,1,1,28500.0,1,19,0,53,3,0,1,12500.0,1,0,2,0,0,125,2010,3,0,0,4,0,1,0,0,0,0,0,0,13,16000.0,0,1,3000,0,0,0,1
53,3438,0,1,750,0,0,7,1,1,0,28000.0,0,10,0,44,3,0,0,0.0,2,0,2,1,0,105,2017,1,0,0,0,1,0,0,0,0,1,0,0,4,28000.0,0,1,3000,0,0,0,1
54,3442,0,1,750,0,0,11,0,1,1,13500.0,0,17,0,50,4,0,0,0.0,6,0,0,0,0,49,2008,1,0,0,0,0,0,0,0,1,0,1,0,10,13500.0,0,1,3000,0,0,0,1
55,1855,0,0,750,0,0,5,0,4,1,8500.0,0,30,0,47,0,0,0,0.0,3,0,0,1,0,31,2019,2,0,0,0,2,0,0,0,1,0,0,0,7,8500.0,0,1,2800,1,0,0,1
56,1865,1,1,750,0,0,11,1,1,0,7000.0,1,13,0,35,4,0,0,0.0,2,1,1,0,0,117,2004,1,0,0,0,0,0,1,0,0,0,0,0,16,7000.0,0,0,3000,0,0,0,0
57,3455,0,1,750,0,0,10,0,3,1,12000.0,0,3,1,55,1,0,0,0.0,3,0,0,1,0,31,2014,1,0,0,0,0,0,0,0,1,0,0,0,10,12000.0,0,1,3000,0,0,0,0
58,3459,0,1,750,0,0,10,0,2,0,17000.0,1,24,0,22,2,0,0,0.0,3,0,1,1,0,5,2015,2,0,0,0,1,0,0,0,0,0,0,0,3,17000.0,0,1,2800,0,0,1,0
59,3464,0,0,750,4,0,8,0,4,1,90500.0,0,5,0,30,0,0,0,50000.0,0,0,2,0,0,27,2019,2,0,0,3,1,0,0,0,0,1,1,0,6,40500.0,0,1,3000,0,1,1,0
60,3471,0,1,750,1,0,5,0,3,1,51500.0,0,1,0,22,3,0,1,14500.0,2,0,2,0,0,19,2015,2,0,0,2,0,0,0,0,0,1,0,0,10,37000.0,0,1,3000,0,0,1,0
61,3476,0,1,750,0,0,1,0,3,1,38000.0,0,14,0,22,3,0,0,15000.0,0,0,2,1,0,38,2015,2,0,1,1,2,0,0,0,0,0,0,0,13,23000.0,0,1,3000,0,0,1,0
62,3477,0,1,750,1,0,2,0,1,0,13000.0,1,25,0,42,3,0,0,0.0,0,0,1,1,1,126,2016,3,0,0,0,0,1,0,0,0,0,0,0,8,13000.0,0,1,3000,0,0,0,1
63,206,0,1,750,0,0,1,1,1,0,15500.0,1,3,0,48,3,0,0,0.0,3,1,0,0,0,74,2020,1,0,0,0,0,0,1,1,0,0,0,0,12,15500.0,0,0,3000,0,0,0,0
64,3481,0,1,750,1,0,12,0,1,1,8500.0,1,6,0,51,3,1,0,0.0,4,0,0,0,0,79,2019,2,0,0,0,0,0,0,0,0,0,0,0,13,8500.0,0,1,3000,0,0,0,1
65,217,0,1,750,0,0,8,1,3,0,31500.0,1,22,0,25,3,0,0,9000.0,3,1,1,0,0,9,2014,1,0,0,1,0,0,1,1,0,0,0,0,13,22500.0,0,0,3000,0,0,0,0
66,1869,0,1,750,3,0,4,0,3,1,25500.0,1,2,1,31,3,0,0,0.0,1,0,2,1,0,36,2013,4,0,0,0,0,1,0,0,0,0,0,0,15,25500.0,0,1,3000,0,0,0,0
67,222,0,1,750,4,0,8,1,1,0,46500.0,1,21,0,69,2,1,0,17000.0,2,0,2,0,0,280,2016,3,0,0,4,0,1,0,0,0,0,0,0,5,29500.0,0,1,3000,0,0,0,1
68,1872,0,1,750,1,0,2,0,1,0,20500.0,1,15,0,64,1,0,0,0.0,4,0,1,1,0,186,2019,2,0,0,0,1,0,0,0,0,0,0,0,9,20500.0,0,1,3000,0,0,0,1
69,1873,0,0,750,2,0,5,0,1,0,11000.0,0,2,1,46,3,0,0,0.0,3,0,0,1,0,106,2014,2,0,0,0,1,0,0,0,1,0,0,0,19,11000.0,0,1,3000,1,0,0,0
70,3498,0,1,750,0,0,10,1,1,0,10500.0,1,18,0,41,3,0,0,0.0,4,1,0,0,0,101,2012,1,0,0,0,3,0,1,1,0,0,0,0,0,10500.0,0,0,3000,0,0,0,0
71,1876,0,1,750,2,0,11,0,3,1,10000.0,1,20,1,18,1,0,0,0.0,2,0,1,1,0,7,2014,2,0,0,0,1,1,0,0,0,0,0,0,10,10000.0,0,1,3000,0,0,0,0
72,3501,0,0,750,0,0,10,0,1,1,91500.0,1,28,1,50,3,0,0,50000.0,0,0,2,1,0,102,2019,3,1,0,3,1,1,0,0,0,0,0,0,14,41500.0,0,1,3000,0,0,0,0
73,1880,0,0,750,0,0,11,0,1,1,15500.0,0,23,0,51,3,0,1,0.0,5,0,0,0,0,191,2016,2,0,0,0,0,0,0,0,1,0,0,0,11,15500.0,0,1,2600,1,0,0,1
74,1881,0,0,750,1,0,2,0,1,1,13000.0,0,28,0,36,3,0,0,0.0,3,0,0,1,0,57,2013,2,0,0,0,0,0,0,0,1,0,0,0,17,13000.0,0,1,3000,1,0,0,1
75,1886,0,1,750,0,0,11,1,1,0,12000.0,1,21,0,62,3,0,0,0.0,3,1,0,0,0,137,2008,1,0,0,0,0,0,1,1,0,0,0,0,3,12000.0,0,0,3000,0,0,0,0
76,1886,0,1,750,0,0,11,0,1,1,12000.0,1,21,0,35,3,0,0,0.0,3,1,0,0,0,107,2015,1,0,0,0,3,0,1,1,0,0,0,0,3,12000.0,0,0,3000,0,0,0,0
77,3517,0,1,750,0,0,10,1,3,0,19500.0,1,11,1,50,1,0,0,0.0,4,0,1,1,0,22,2020,2,0,0,0,2,1,0,0,0,0,0,0,7,19500.0,0,1,3000,0,0,0,0
78,253,0,0,750,0,1,10,0,2,1,18000.0,1,6,1,44,1,0,1,0.0,6,0,1,0,0,3,2018,2,0,0,0,1,1,0,0,0,0,0,0,15,18000.0,0,1,3000,0,0,0,0
79,1903,0,1,750,1,0,12,0,1,1,21000.0,1,20,0,58,3,0,1,0.0,4,0,1,0,0,214,2015,3,0,0,0,2,1,0,0,0,0,0,0,13,21000.0,0,1,2600,0,0,1,0
80,255,0,0,750,0,0,3,0,1,1,39500.0,1,9,0,62,3,0,0,0.0,5,0,2,1,0,180,2019,3,0,0,0,0,1,0,0,0,0,0,0,18,39500.0,0,1,3000,1,0,1,0
81,258,0,1,750,0,0,5,0,3,1,6000.0,0,2,0,57,3,0,0,0.0,3,0,0,1,0,39,2017,1,0,0,0,0,0,0,0,1,0,0,0,7,6000.0,1,1,2600,0,0,1,0
82,3533,0,1,750,0,0,2,0,1,1,18000.0,1,2,0,54,3,0,1,0.0,5,0,1,0,0,136,2020,2,0,0,0,0,1,0,0,0,0,0,0,4,18000.0,0,1,3000,0,0,0,1
83,1911,0,1,750,1,0,7,0,1,1,37000.0,1,29,0,56,3,0,0,6500.0,0,0,2,1,0,231,2017,3,0,0,1,1,1,0,0,0,0,0,0,13,30500.0,0,1,2750,0,0,0,1
84,262,0,0,750,0,0,11,0,1,1,53500.0,1,16,1,56,1,0,0,16000.0,5,0,2,1,0,73,2019,3,1,0,1,2,1,0,0,0,0,0,0,2,37500.0,0,1,3000,0,0,0,0
85,268,0,1,750,2,0,12,0,1,1,61000.0,1,20,1,40,2,0,0,30000.0,4,0,2,1,0,156,2014,3,0,0,3,0,1,0,0,0,0,0,0,22,31000.0,0,1,3000,0,0,0,0
86,1917,0,0,750,2,1,5,0,1,1,31000.0,1,8,0,33,3,0,0,19500.0,2,0,1,1,0,81,2003,2,0,0,2,1,0,0,0,0,0,0,0,16,11500.0,0,1,3000,0,0,1,0
87,1919,0,0,750,0,0,1,1,1,0,18000.0,1,14,0,19,1,0,0,0.0,0,1,0,0,0,2,2017,1,0,0,0,1,0,1,1,0,0,0,0,3,18000.0,0,0,3000,1,0,0,0
88,277,0,1,750,0,0,1,1,1,0,14500.0,1,22,1,57,4,0,1,0.0,1,0,1,0,0,113,2019,2,0,0,0,0,0,0,0,0,0,0,0,10,14500.0,0,1,2750,0,0,0,0
89,3557,0,0,750,0,0,5,0,2,1,11000.0,0,12,1,22,1,0,1,0.0,6,0,0,0,0,12,2010,2,0,0,0,1,0,0,0,1,0,0,0,17,11000.0,0,1,2750,0,1,0,0
90,286,0,0,750,0,0,2,0,1,0,18500.0,1,14,1,52,3,0,0,0.0,3,0,0,1,0,63,2019,2,0,0,0,1,0,0,0,0,0,0,0,13,18500.0,0,1,3000,0,1,0,0
91,289,0,0,750,0,0,12,0,1,1,48500.0,1,27,1,49,3,0,0,30000.0,4,0,1,1,0,166,2010,2,1,0,1,2,0,0,0,0,0,0,0,15,18500.0,0,1,3000,0,0,0,0
92,3564,0,1,750,0,0,1,0,1,1,15000.0,0,5,0,48,4,0,0,0.0,5,0,0,1,0,111,2014,2,0,0,0,3,0,0,0,1,0,0,0,20,15000.0,0,1,2900,0,0,1,0
93,3564,0,1,750,0,0,1,0,1,1,15000.0,0,5,0,49,4,0,0,0.0,5,0,0,1,0,81,2018,2,0,0,0,0,0,0,0,1,0,0,0,20,15000.0,0,1,3000,0,0,1,0
94,295,0,0,750,1,1,10,0,1,1,7000.0,1,15,0,38,3,0,0,0.0,1,1,0,0,0,154,2016,1,0,0,0,2,0,1,1,0,0,0,0,16,7000.0,0,0,2600,0,0,0,0
95,296,0,1,750,1,0,11,0,1,1,33000.0,1,21,0,52,3,0,0,3500.0,3,0,2,1,0,140,2016,3,0,0,4,0,1,0,0,0,0,0,0,12,29500.0,0,1,3000,0,0,0,1
96,1953,0,1,800,0,0,6,0,1,1,46000.0,1,6,0,62,4,0,0,9000.0,3,0,2,1,0,52,2020,3,0,0,1,2,1,0,0,0,0,0,0,18,37000.0,0,1,2550,0,0,0,1
97,1954,0,1,750,2,0,10,1,1,0,50000.0,1,14,0,65,1,0,0,17500.0,0,0,2,1,0,292,2013,3,0,0,4,1,1,0,0,0,0,0,0,11,32500.0,0,1,2800,0,0,1,0
98,1955,0,1,750,0,0,7,0,3,1,13500.0,0,26,1,27,1,0,0,0.0,4,0,0,1,0,46,2017,1,0,0,0,0,0,0,0,1,0,0,0,10,13500.0,0,1,3000,0,0,0,0
99,1956,0,0,750,3,0,10,0,1,1,12000.0,0,19,1,54,3,0,0,0.0,5,0,0,1,0,106,2019,2,0,0,0,0,0,0,0,1,0,0,0,9,12000.0,0,1,3000,1,0,0,0
100,3585,0,1,750,1,0,5,1,1,0,9500.0,0,31,0,41,3,0,0,0.0,4,0,0,1,2,124,2018,2,0,0,0,0,0,0,0,1,0,0,0,9,9500.0,0,1,3000,0,0,1,0
101,3585,0,0,750,1,0,5,0,1,1,9500.0,0,31,0,50,3,0,0,0.0,4,0,0,1,0,120,2018,2,0,0,0,1,0,0,0,1,0,0,0,9,9500.0,0,1,3000,1,0,1,0
102,301,0,0,750,2,0,7,0,2,1,15000.0,1,13,1,34,3,0,0,0.0,5,0,0,1,0,30,2015,3,0,0,0,0,1,0,0,0,0,0,0,2,15000.0,0,1,2850,1,0,0,0
103,3609,0,1,750,0,0,8,0,2,1,18500.0,1,1,0,33,1,0,0,0.0,3,0,1,1,0,40,2010,2,0,0,0,2,1,0,0,0,0,0,0,11,18500.0,0,1,3000,0,0,0,1
104,303,0,0,750,1,0,4,1,1,0,9000.0,0,30,1,50,4,0,0,0.0,1,0,0,1,0,167,2019,2,0,0,0,3,0,0,0,1,0,0,0,6,9000.0,0,1,3000,1,0,0,0
105,315,0,1,750,0,0,10,0,2,1,16500.0,1,25,0,27,3,0,0,0.0,4,0,1,1,0,48,2020,2,0,0,0,1,0,0,0,0,0,0,0,5,16500.0,1,1,3000,0,0,0,1
106,3628,0,0,750,1,0,11,0,1,1,38000.0,1,23,0,21,1,0,0,15000.0,5,0,1,1,0,1,2018,3,0,0,1,1,1,0,0,0,0,0,0,5,23000.0,0,1,3000,1,0,0,1
107,326,0,1,750,2,0,9,0,1,1,29500.0,1,16,1,51,2,0,0,4500.0,0,0,2,1,0,112,2019,3,0,0,1,2,1,0,0,0,0,0,0,8,25000.0,0,1,3000,0,0,0,0
108,326,0,0,750,2,0,9,0,1,1,29500.0,1,16,1,44,2,0,0,4500.0,0,0,2,1,0,104,2013,3,0,0,1,2,1,0,0,0,0,0,0,8,25000.0,0,1,2600,0,1,0,0
109,1981,0,0,750,0,1,1,0,1,1,11500.0,1,11,0,43,3,0,0,0.0,4,1,0,0,0,240,2015,1,0,0,0,2,0,1,1,0,0,0,0,3,11500.0,1,0,3000,0,0,0,0
110,1981,0,1,750,0,0,1,0,1,1,11500.0,1,11,0,57,3,0,0,0.0,4,1,0,0,3,54,2018,1,0,0,0,0,0,1,1,0,0,0,0,3,11500.0,1,0,3000,0,0,0,0
111,1988,0,1,750,2,0,9,0,1,1,67000.0,1,23,0,37,3,1,0,30000.0,0,0,2,0,0,53,2018,3,0,0,1,2,1,0,0,0,0,0,0,8,37000.0,0,1,3000,0,0,0,1
112,338,0,0,750,0,0,11,0,1,1,35500.0,1,1,1,45,3,0,0,7500.0,4,0,2,1,0,147,2014,2,0,0,1,1,1,0,0,0,0,0,0,19,28000.0,0,1,3000,1,0,0,0
113,359,0,1,750,5,0,5,0,1,1,18000.0,1,11,0,58,3,0,0,0.0,5,0,1,1,1,241,2015,4,0,0,0,0,1,0,0,0,0,0,0,5,18000.0,0,1,3000,0,0,1,0
114,2017,0,0,750,0,0,3,1,5,0,18000.0,1,29,0,22,3,0,0,7500.0,4,0,1,1,0,7,2018,1,0,0,1,2,0,0,0,0,0,0,0,15,10500.0,1,1,2800,0,1,0,1
115,366,0,1,750,2,0,2,1,1,0,12000.0,1,3,1,42,3,0,1,0.0,6,0,1,0,0,174,2018,3,0,0,0,0,1,0,0,0,0,0,0,17,12000.0,0,1,3000,0,0,0,0
116,366,0,1,750,2,0,2,1,1,0,12000.0,1,3,1,68,3,0,1,0.0,6,0,1,0,0,295,2013,3,0,0,0,0,1,0,0,0,0,0,0,17,12000.0,0,1,3000,0,0,0,0
117,3649,0,0,750,0,0,4,0,4,0,13500.0,0,24,0,50,3,0,0,0.0,2,0,0,1,0,34,2014,2,0,0,0,1,0,0,0,1,0,0,1,7,13500.0,0,1,3000,0,0,1,0
118,3649,0,0,750,0,1,4,1,2,0,13500.0,0,24,0,31,3,0,0,0.0,2,0,0,1,0,5,2018,2,0,0,0,1,0,0,0,1,0,0,0,7,13500.0,0,1,3000,0,0,1,0
119,3650,0,1,750,1,0,12,0,1,1,42000.0,1,10,0,59,2,0,0,4000.0,1,0,2,1,0,207,2018,3,0,0,1,0,1,0,0,0,0,0,0,10,38000.0,0,1,2900,0,0,1,0
120,380,0,1,750,2,0,12,0,1,1,20500.0,1,8,0,23,4,0,1,5500.0,6,0,1,0,0,49,2013,4,0,0,4,0,1,0,0,0,0,0,0,14,15000.0,0,1,3000,0,0,0,1
121,3661,0,0,750,2,0,2,0,1,0,17000.0,0,3,0,61,2,0,0,0.0,6,0,0,1,0,142,2019,2,1,0,0,1,0,0,0,1,0,0,0,9,17000.0,0,1,3000,0,0,0,1
122,2048,0,1,750,0,0,8,0,1,1,17000.0,0,5,0,32,3,0,0,0.0,0,0,0,1,0,75,2018,2,0,0,0,2,0,0,0,1,0,0,0,11,17000.0,0,1,3000,0,0,0,1
123,2054,0,0,750,0,0,9,1,1,0,8000.0,1,24,0,55,3,0,0,0.0,1,1,0,0,0,91,2019,1,0,0,0,1,0,1,1,0,0,0,1,12,8000.0,0,0,3000,0,0,0,0
