longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,population,households,medianIncome,medianHouseValue
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,0.2304
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,0.2208
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,0.2098
-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,0.2194
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,0.1944
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,0.209
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,0.2078
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,0.3828
-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,0.352
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,0.3108
-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,0.3
-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,0.2376
-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,0.3776
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,0.3688
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,0.3646
-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,0.285
-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,0.275
-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,0.375
-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,0.225
-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,0.3438
-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,0.1876
-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,0.195
-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,0.2084
-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,0.175
-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,0.1662
-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,0.175
-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,0.1706
-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,0.1606
-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,0.12
-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,0.1514
-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183,0.15
-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011,0.1722
-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.191,0.1522
-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,0.147
-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,0.1568
-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,0.1688
-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,0.1626
-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,0.17
-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,0.2584
-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,0.165
-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,0.1904
-122.29,37.81,49.0,844.0,204.0,560.0,152.0,1.75,0.15
-122.29,37.81,46.0,12.0,4.0,18.0,7.0,0.4999,0.135
-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483,0.275
-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,0.355
-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,0.2042
-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,1.1111,0.2166
-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,0.225
-122.28,37.8,38.0,684.0,176.0,344.0,155.0,2.0114,0.2626
-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5,0.325
-122.27,37.81,52.0,210.0,56.0,183.0,56.0,1.1667,0.225
-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208,0.225
-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075,0.275
-122.28,37.81,35.0,948.0,184.0,467.0,169.0,1.8088,0.2376
-122.28,37.81,52.0,773.0,143.0,377.0,115.0,2.4083,0.1964
-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,0.2376
-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76,0.325
-122.27,37.8,10.0,105.0,42.0,125.0,39.0,0.9722,0.275
-122.27,37.8,52.0,249.0,78.0,396.0,85.0,1.2434,1.000002
-122.27,37.8,16.0,994.0,392.0,800.0,362.0,2.0938,0.325
-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668,0.275
-122.28,37.8,52.0,96.0,31.0,191.0,34.0,0.75,0.325
-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,2.6354,0.375
-122.27,37.8,39.0,1715.0,623.0,1327.0,467.0,1.8477,0.3584
-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,0.26
-122.26,37.82,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,0.3676
-122.26,37.81,29.0,335.0,107.0,202.0,91.0,2.0062,0.25
-122.26,37.82,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,0.34
-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,2.6104,0.3862
-122.25,37.81,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,0.5156
-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,0.5468
-122.25,37.81,39.0,854.0,242.0,389.0,228.0,3.125,0.475
-122.25,37.81,52.0,2155.0,701.0,895.0,613.0,2.5795,0.7
-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,0.6714
-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,4.9306,0.6268
-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,3.2727,0.537
-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,3.1691,0.5188
-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,3.9,0.5514
-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,3.9063,0.45
-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,5.0917,0.525
-122.25,37.82,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,0.437
-122.25,37.82,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,0.51
-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,3.1484,0.4482
-122.25,37.83,35.0,1613.0,428.0,675.0,422.0,3.4722,0.4862
-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,0.4632
-122.25,37.83,28.0,5022.0,1750.0,2558.0,1661.0,2.4234,0.437
-122.25,37.83,52.0,4190.0,1105.0,1786.0,1037.0,3.0897,0.4682
-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,0.6552
-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868,0.6952
-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,5.956,0.7322
-122.24,37.85,37.0,334.0,54.0,98.0,47.0,4.9643,0.67
-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,0.7472
-122.24,37.84,52.0,3529.0,574.0,1177.0,555.0,5.1773,0.779
-122.24,37.85,52.0,2612.0,365.0,901.0,367.0,7.2354,0.7822
-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,5.457,0.6746
-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,0.5904
-122.21,37.84,44.0,3424.0,597.0,1358.0,597.0,6.0194,0.5846
-122.21,37.83,40.0,4991.0,674.0,1616.0,654.0,7.5544,0.823
-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,6.0666,0.623
-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,7.0548,0.6518
-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,11.6017,0.7852
-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882,0.6386
-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,6.8976,0.6666
-122.19,37.83,28.0,1326.0,184.0,463.0,190.0,8.2049,0.6704
-122.2,37.83,26.0,1589.0,223.0,542.0,211.0,8.401,0.7024
-122.19,37.83,29.0,1791.0,271.0,661.0,269.0,6.8538,0.7378
-122.19,37.82,32.0,1835.0,264.0,635.0,263.0,8.317,0.7318
-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,7.0175,0.7334
-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,6.3302,0.7256
-122.18,37.81,30.0,292.0,38.0,126.0,52.0,6.3624,0.9666
-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,0.6628
-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851,0.647
-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,2.8929,0.4334
-122.21,37.8,38.0,2254.0,535.0,951.0,487.0,3.0812,0.4662
-122.21,37.81,52.0,1389.0,212.0,510.0,224.0,5.2402,0.5928
-122.22,37.81,52.0,1971.0,335.0,765.0,308.0,6.5217,0.5474
-122.22,37.8,52.0,2183.0,465.0,1129.0,460.0,3.2632,0.4554
-122.22,37.8,52.0,2286.0,464.0,1073.0,441.0,3.0298,0.3992
-122.22,37.8,52.0,2721.0,541.0,1185.0,515.0,4.5428,0.4796
-122.22,37.81,52.0,2024.0,339.0,756.0,340.0,4.072,0.5402
-122.22,37.81,52.0,2944.0,536.0,1034.0,521.0,5.3509,0.6042
-122.23,37.8,52.0,2033.0,486.0,787.0,459.0,3.1603,0.539
-122.23,37.81,52.0,1433.0,229.0,612.0,213.0,4.7708,0.6294
-122.22,37.81,52.0,2927.0,402.0,1021.0,380.0,8.1564,0.7802
-122.23,37.81,52.0,2315.0,292.0,861.0,258.0,8.8793,0.8206
-122.24,37.81,52.0,2485.0,313.0,953.0,327.0,6.8591,0.7048
-122.24,37.81,52.0,1490.0,238.0,634.0,256.0,6.0302,0.5746
-122.23,37.81,52.0,2814.0,365.0,878.0,352.0,7.508,0.6974
-122.24,37.81,52.0,2093.0,550.0,918.0,483.0,2.7477,0.4876
-122.24,37.8,52.0,888.0,168.0,360.0,175.0,2.1944,0.423
-122.25,37.8,52.0,2087.0,510.0,1197.0,488.0,3.0149,0.4368
-122.24,37.81,52.0,2513.0,502.0,1048.0,518.0,3.675,0.5398
-122.25,37.81,46.0,3232.0,835.0,1373.0,747.0,3.225,0.4376
-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,0.45
-122.25,37.8,43.0,2364.0,792.0,1359.0,722.0,2.1429,0.5
-122.25,37.8,41.0,1471.0,469.0,1062.0,413.0,1.6121,0.3428
-122.25,37.8,29.0,2468.0,864.0,1335.0,773.0,1.3929,0.3876
-122.24,37.79,27.0,1632.0,492.0,1171.0,429.0,2.3173,0.25
-122.25,37.79,45.0,1786.0,526.0,1475.0,460.0,1.7772,0.195
-122.25,37.79,50.0,629.0,188.0,742.0,196.0,2.6458,0.25
-122.25,37.79,52.0,1339.0,391.0,1086.0,363.0,2.181,0.2776
-122.25,37.8,36.0,1678.0,606.0,1645.0,543.0,2.2303,0.2334
-122.25,37.8,43.0,2344.0,647.0,1710.0,644.0,1.6504,0.3036
-122.24,37.8,52.0,996.0,228.0,731.0,228.0,2.2697,0.254
-122.24,37.8,52.0,1591.0,373.0,1118.0,347.0,2.1563,0.2572
-122.24,37.8,52.0,1586.0,398.0,1006.0,335.0,2.1348,0.2812
-122.24,37.8,47.0,2046.0,588.0,1213.0,554.0,2.6292,0.3654
-122.23,37.8,52.0,1192.0,289.0,772.0,257.0,2.3833,0.2938
-122.24,37.8,52.0,1803.0,420.0,1321.0,401.0,2.957,0.2456
-122.24,37.8,49.0,2838.0,749.0,1487.0,677.0,2.5238,0.3386
-122.23,37.8,52.0,783.0,184.0,488.0,186.0,1.9375,0.2532
-122.23,37.8,51.0,1590.0,414.0,949.0,392.0,1.9028,0.2558
-122.23,37.8,50.0,1746.0,480.0,1149.0,415.0,2.25,0.247
-122.23,37.8,52.0,1252.0,299.0,844.0,280.0,2.3929,0.2238
-122.23,37.79,43.0,5963.0,1344.0,4367.0,1231.0,2.1917,0.2256
-122.23,37.79,52.0,1783.0,395.0,1659.0,412.0,2.9357,0.2158
-122.23,37.79,30.0,999.0,264.0,1011.0,263.0,1.8854,0.275
-122.24,37.79,39.0,1469.0,431.0,1464.0,389.0,2.1638,0.211
-122.24,37.79,47.0,1372.0,395.0,1237.0,303.0,2.125,0.191
-122.24,37.79,52.0,674.0,180.0,647.0,168.0,3.375,0.2322
-122.24,37.79,43.0,1626.0,376.0,1284.0,357.0,2.2542,0.2244
-122.25,37.79,51.0,175.0,43.0,228.0,55.0,2.1,0.15
-122.25,37.79,39.0,461.0,129.0,381.0,123.0,1.6,0.225
-122.25,37.79,52.0,902.0,237.0,846.0,227.0,3.625,0.25
-122.26,37.8,20.0,2373.0,779.0,1659.0,676.0,1.6929,0.23
-122.22,37.77,52.0,391.0,128.0,520.0,138.0,1.6471,0.19
-122.22,37.77,52.0,1137.0,301.0,866.0,259.0,2.59,0.1928
-122.23,37.77,52.0,769.0,206.0,612.0,183.0,2.57,0.144
-122.23,37.78,52.0,472.0,146.0,415.0,126.0,2.6429,0.1426
-122.23,37.78,52.0,862.0,215.0,994.0,213.0,3.0257,0.1616
-122.22,37.78,50.0,1920.0,530.0,1525.0,477.0,1.4886,0.2576
-122.23,37.78,43.0,1420.0,472.0,1506.0,438.0,1.9338,0.225
-122.23,37.78,52.0,986.0,258.0,1008.0,255.0,1.4844,0.2388
-122.23,37.78,44.0,2340.0,825.0,2813.0,751.0,1.6009,0.2362
-122.23,37.79,48.0,1696.0,396.0,1481.0,343.0,2.0375,0.245
-122.23,37.79,49.0,1175.0,217.0,859.0,219.0,2.293,0.2126
-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,0.265
-122.23,37.79,30.0,610.0,145.0,425.0,140.0,1.6198,0.2454
-122.23,37.79,40.0,930.0,199.0,564.0,184.0,1.3281,0.2266
-122.22,37.79,44.0,1487.0,314.0,961.0,272.0,3.5156,0.219
-122.22,37.79,52.0,3424.0,690.0,2273.0,685.0,3.9048,0.3294
-122.21,37.79,52.0,762.0,190.0,600.0,195.0,3.0893,0.25
-122.22,37.79,46.0,2366.0,575.0,1647.0,527.0,2.6042,0.2494
-122.22,37.79,49.0,1826.0,450.0,1201.0,424.0,2.5,0.2734
-122.22,37.79,38.0,3049.0,711.0,2167.0,659.0,2.7969,0.2834
-122.2,37.79,29.0,1640.0,376.0,939.0,340.0,2.8321,0.3
-122.21,37.79,47.0,1543.0,307.0,859.0,292.0,2.9583,0.2776
-122.21,37.79,34.0,2364.0,557.0,1517.0,516.0,2.8365,0.2784
-122.21,37.79,35.0,1745.0,409.0,1143.0,386.0,2.875,0.2876
-122.21,37.8,39.0,2003.0,500.0,1109.0,464.0,3.0682,0.313
-122.21,37.8,39.0,2018.0,447.0,1221.0,446.0,3.0757,0.302
-122.2,37.8,43.0,3045.0,499.0,1115.0,455.0,4.9559,0.546
-122.2,37.8,52.0,1547.0,293.0,706.0,268.0,4.7721,0.4342
-122.21,37.8,52.0,3519.0,711.0,1883.0,706.0,3.4861,0.3742
-122.2,37.8,41.0,2070.0,354.0,804.0,340.0,5.1184,0.4792
-122.21,37.8,48.0,1321.0,263.0,506.0,252.0,4.0977,0.4594
-122.19,37.8,48.0,1694.0,259.0,610.0,238.0,4.744,0.5146
-122.19,37.8,46.0,1938.0,341.0,768.0,332.0,4.2727,0.4938
-122.19,37.79,50.0,968.0,195.0,462.0,184.0,2.9844,0.3598
-122.2,37.79,40.0,1060.0,256.0,667.0,235.0,4.1739,0.3392
-122.2,37.8,46.0,2041.0,405.0,1059.0,399.0,3.8487,0.4066
-122.19,37.8,52.0,1813.0,271.0,637.0,277.0,4.0114,0.5268
-122.19,37.79,45.0,2718.0,451.0,1106.0,454.0,4.6563,0.4636
-122.19,37.79,28.0,3144.0,761.0,1737.0,669.0,2.9297,0.281
-122.2,37.79,35.0,1802.0,459.0,1009.0,390.0,2.3036,0.252
-122.2,37.79,49.0,882.0,195.0,737.0,210.0,2.6667,0.244
-122.2,37.79,44.0,1621.0,452.0,1354.0,491.0,2.619,0.2694
-122.21,37.79,45.0,2115.0,533.0,1530.0,474.0,2.4167,0.2788
-122.2,37.79,45.0,2021.0,528.0,1410.0,480.0,2.7788,0.2308
-122.21,37.78,46.0,2239.0,508.0,1390.0,569.0,2.7352,0.2746
-122.21,37.78,52.0,1477.0,300.0,1065.0,269.0,1.8472,0.274
-122.21,37.78,52.0,1056.0,224.0,792.0,245.0,2.6583,0.2852
-122.21,37.78,49.0,898.0,244.0,779.0,245.0,3.0536,0.275
-122.22,37.78,44.0,2968.0,710.0,2269.0,610.0,2.3906,0.2234
-122.21,37.78,43.0,1702.0,460.0,1227.0,407.0,1.7188,0.2536
-122.21,37.78,47.0,881.0,248.0,753.0,241.0,2.625,0.2226
-122.22,37.77,40.0,494.0,114.0,547.0,135.0,2.8015,0.2296
-122.22,37.78,50.0,1776.0,473.0,1807.0,440.0,1.7276,0.2046
-122.22,37.78,44.0,1678.0,514.0,1700.0,495.0,2.0801,0.2638
-122.22,37.78,51.0,1637.0,463.0,1543.0,393.0,2.489,0.2382
-122.21,37.76,52.0,1420.0,314.0,1085.0,300.0,1.7546,0.1612
-122.21,37.77,52.0,591.0,173.0,353.0,137.0,4.0904,0.1612
-122.21,37.77,52.0,745.0,153.0,473.0,149.0,2.6765,0.1776
-122.2,37.77,49.0,2272.0,498.0,1621.0,483.0,2.4338,0.2048
-122.21,37.77,46.0,1234.0,375.0,1183.0,354.0,2.3309,0.1974
-122.21,37.77,43.0,1017.0,328.0,836.0,277.0,2.2604,0.2
-122.19,37.77,42.0,932.0,254.0,900.0,263.0,1.8039,0.1846
-122.2,37.77,39.0,2689.0,597.0,1888.0,537.0,2.2562,0.1896
-122.2,37.77,41.0,1547.0,415.0,1024.0,341.0,2.0562,0.204
-122.2,37.78,52.0,2300.0,443.0,1225.0,423.0,3.5398,0.3168
-122.2,37.78,39.0,1752.0,399.0,1071.0,376.0,3.1167,0.2432
-122.2,37.78,50.0,1867.0,403.0,1128.0,378.0,2.5401,0.2582
-122.2,37.77,43.0,2430.0,502.0,1537.0,484.0,2.898,0.2428
-122.21,37.78,44.0,1729.0,414.0,1240.0,393.0,2.3125,0.2056
-122.19,37.78,52.0,1026.0,180.0,469.0,168.0,2.875,0.32
-122.19,37.77,52.0,2170.0,428.0,1086.0,425.0,3.3715,0.2878
-122.19,37.77,52.0,2329.0,445.0,1144.0,417.0,3.5114,0.3024
-122.19,37.78,52.0,2492.0,415.0,1109.0,375.0,4.3125,0.3288
-122.19,37.78,52.0,2198.0,397.0,984.0,369.0,3.22,0.313
-122.18,37.78,33.0,142.0,31.0,575.0,47.0,3.875,0.45
-122.19,37.78,49.0,1183.0,205.0,496.0,209.0,5.2328,0.3484
-122.19,37.78,52.0,1070.0,193.0,555.0,190.0,3.7262,0.3338
-122.2,37.78,45.0,1766.0,332.0,869.0,327.0,4.5893,0.327
-122.18,37.79,39.0,617.0,95.0,236.0,106.0,5.2578,0.506
-122.18,37.79,41.0,1411.0,233.0,626.0,214.0,7.0875,0.4814
-122.18,37.79,46.0,2109.0,387.0,922.0,329.0,3.9712,0.4162
-122.19,37.79,47.0,1229.0,243.0,582.0,256.0,2.9514,0.3962
-122.19,37.79,50.0,954.0,217.0,546.0,201.0,2.6667,0.3456
-122.18,37.81,37.0,1643.0,262.0,620.0,266.0,5.4446,0.6734
-122.18,37.8,34.0,1355.0,195.0,442.0,195.0,6.2838,0.6364
-122.18,37.8,23.0,2317.0,336.0,955.0,328.0,6.7527,0.5716
-122.13,37.77,24.0,2459.0,317.0,916.0,324.0,7.0712,0.586
-122.16,37.79,22.0,12842.0,2048.0,4985.0,1967.0,5.9849,0.742
-122.17,37.78,42.0,1524.0,260.0,651.0,267.0,3.6875,0.3146
-122.17,37.77,30.0,3326.0,746.0,1704.0,703.0,2.875,0.2706
-122.18,37.78,43.0,1985.0,440.0,1085.0,407.0,3.4205,0.2734
-122.18,37.78,50.0,1642.0,322.0,713.0,284.0,3.2984,0.3214
-122.17,37.78,49.0,893.0,177.0,468.0,181.0,3.875,0.2812
-122.17,37.78,52.0,653.0,128.0,296.0,121.0,4.175,0.288
-122.16,37.77,47.0,1256.0,217.0,570.0,218.0,4.375,0.3238
-122.16,37.77,48.0,977.0,194.0,446.0,180.0,4.7708,0.3126
-122.16,37.77,45.0,2324.0,397.0,968.0,384.0,3.5739,0.352
-122.16,37.77,39.0,1583.0,349.0,857.0,316.0,3.0958,0.2916
-122.17,37.77,39.0,1612.0,342.0,912.0,322.0,3.3958,0.2838
-122.17,37.77,31.0,2424.0,533.0,1360.0,452.0,1.871,0.1814
-122.17,37.76,41.0,1594.0,367.0,1074.0,355.0,1.9356,0.1812
-122.17,37.76,47.0,2118.0,413.0,965.0,382.0,2.1842,0.2158
-122.18,37.76,37.0,1575.0,358.0,933.0,320.0,2.2917,0.214
-122.17,37.76,38.0,1764.0,397.0,987.0,354.0,2.4333,0.1964
-122.18,37.76,50.0,1187.0,261.0,907.0,246.0,1.9479,0.179
-122.18,37.76,52.0,754.0,175.0,447.0,165.0,3.9063,0.1876
-122.18,37.76,49.0,2308.0,452.0,1299.0,451.0,1.8407,0.1934
-122.18,37.77,27.0,909.0,236.0,396.0,157.0,2.0786,0.195
-122.18,37.77,42.0,1180.0,257.0,877.0,268.0,2.8125,0.1946
-122.18,37.76,43.0,2018.0,408.0,1111.0,367.0,1.8913,0.1824
-122.19,37.76,49.0,1368.0,282.0,790.0,269.0,1.7056,0.1828
-122.18,37.77,52.0,2744.0,547.0,1479.0,554.0,2.2768,0.1924
-122.18,37.77,51.0,2107.0,471.0,1173.0,438.0,3.2552,0.2402
-122.18,37.77,52.0,1748.0,362.0,1029.0,366.0,2.0556,0.2
-122.19,37.76,52.0,2024.0,391.0,1030.0,350.0,2.4659,0.1894
-122.2,37.76,47.0,1116.0,259.0,826.0,279.0,1.75,0.1714
-122.19,37.77,41.0,2036.0,510.0,1412.0,454.0,2.0469,0.1786
-122.19,37.77,45.0,1852.0,393.0,1132.0,349.0,2.7159,0.2028
-122.19,37.76,41.0,921.0,207.0,522.0,159.0,1.2083,0.145
-122.19,37.76,45.0,995.0,238.0,630.0,237.0,1.925,0.1482
-122.2,37.75,36.0,606.0,132.0,531.0,133.0,1.5809,0.14
-122.2,37.76,37.0,2680.0,736.0,1925.0,667.0,1.4097,0.1692
-122.19,37.76,38.0,1493.0,370.0,1144.0,351.0,0.7683,0.1636
-122.19,37.75,19.0,2207.0,565.0,1481.0,520.0,1.3194,0.1628
-122.19,37.75,28.0,856.0,189.0,435.0,162.0,0.8012,0.1636
-122.19,37.76,26.0,1293.0,297.0,984.0,303.0,1.9479,0.1716
-122.19,37.74,36.0,847.0,212.0,567.0,159.0,1.1765,0.1742
-122.18,37.74,42.0,541.0,154.0,380.0,123.0,2.3456,0.167
-122.19,37.73,44.0,1066.0,253.0,825.0,244.0,2.1538,0.1594
-122.19,37.74,43.0,707.0,147.0,417.0,155.0,2.5139,0.1668
-122.19,37.73,45.0,1528.0,291.0,801.0,287.0,1.2625,0.1694
-122.18,37.73,42.0,909.0,215.0,646.0,198.0,2.9063,0.16
-122.18,37.73,43.0,1391.0,293.0,855.0,285.0,2.5192,0.1528
-122.18,37.73,44.0,548.0,119.0,435.0,136.0,2.1111,0.1594
-122.18,37.73,42.0,4074.0,874.0,2736.0,780.0,2.455,0.1648
-122.17,37.74,41.0,1613.0,445.0,1481.0,414.0,2.4028,0.1954
-122.17,37.74,47.0,463.0,134.0,327.0,137.0,2.15,0.1944
-122.17,37.74,43.0,818.0,193.0,494.0,179.0,2.4776,0.2032
-122.17,37.73,43.0,1473.0,371.0,1231.0,341.0,2.1587,0.173
-122.18,37.74,35.0,504.0,126.0,323.0,109.0,1.8438,0.181
-122.17,37.74,46.0,1026.0,226.0,749.0,225.0,3.0298,0.2152
-122.17,37.74,46.0,769.0,183.0,693.0,178.0,2.25,0.1684
-122.18,37.74,46.0,2103.0,391.0,1339.0,354.0,2.2467,0.1778
-122.18,37.75,45.0,330.0,76.0,282.0,80.0,4.0469,0.1614
-122.18,37.75,46.0,941.0,218.0,621.0,195.0,1.325,0.1742
-122.17,37.75,38.0,992.0,279.0,732.0,259.0,1.6196,0.1702
-122.18,37.75,45.0,990.0,261.0,901.0,260.0,2.1731,0.164
-122.19,37.75,36.0,1126.0,263.0,482.0,150.0,1.9167,0.1656
-122.18,37.75,43.0,1036.0,233.0,652.0,213.0,2.069,0.1692
-122.18,37.75,36.0,1047.0,214.0,651.0,166.0,1.712,0.1642
-122.17,37.76,33.0,1280.0,307.0,999.0,286.0,2.5625,0.1786
-122.17,37.75,43.0,1587.0,320.0,907.0,306.0,1.9821,0.1966
-122.17,37.75,41.0,1257.0,271.0,828.0,230.0,2.5043,0.1846
