Id,Model,Year,Status,Mileage,Price,MSRP
21555,2276,2023 Chevrolet Tahoe RST,2023,New,Not available,"$67,794.00","MSRP $67,295"
61420,743,2020 Lexus ES 300h Luxury,2020,Used,"27,649 mi.","$44,953.00",Not specified
32580,3302,2014 Dodge Challenger R/T,2014,Used,"164,569 mi.","$12,995.00",Not specified
112597,6845,2023 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,2023,New,Not available,"$40,423.00","$3,500 price drop"
44739,1050,2023 Hyundai Tucson Limited,2023,New,Not available,"$39,510.00","MSRP $39,510"
83743,2981,2018 Porsche Cayenne Platinum Edition,2018,Used,"37,491 mi.","$39,495.00",Not specified
59550,7561,2021 INFINITI Q50 3.0t LUXE,2021,Used,"49,667 mi.","$24,995.00",Not specified
39410,259,2022 Ford Explorer Timberline,2022,New,Not available,"$53,480.00",Not specified
75383,4721,2022 Mercedes-Benz GLC 300 Base 4MATIC,2022,New,Not available,"$50,260.00","MSRP $50,260"
35442,6164,2017 Dodge Challenger SXT,2017,Used,"56,467 mi.","$20,503.00",Not specified
39144,9866,2015 Dodge Durango Limited,2015,Used,"99,683 mi.","$18,399.00","$1,600 price drop"
103281,3357,2023 Toyota Tacoma SR5,2023,New,Not available,"$33,950.00","MSRP $33,950"
7780,7780,2023 Acura MDX Advance,2023,New,Not available,"$65,890.00",Not specified
34843,5565,2019 Dodge Challenger R/T Scat Pack,2019,Used,"38,565 mi.","$44,132.00","$2,368 price drop"
44389,700,2021 Hyundai Palisade SEL,2021,Used,"11,036 mi.","$41,990.00",Not specified
68336,7659,2022 Lexus LS 500,2022,New,Not available,"$106,445.00","MSRP $106,445"
104750,4826,2019 Toyota Highlander LE Plus,2019,Used,"42,300 mi.","$28,500.00","$2,500 price drop"
3991,3991,2019 Acura RDX Base,2019,Used,"45,362 mi.","$30,998.00","$1,000 price drop"
82796,2034,2013 Porsche Cayenne Turbo,2013,Used,"73,086 mi.","$33,395.00",$604 price drop
39509,358,2022 Ford F-350 XL,2022,New,Not available,"$66,790.00",Not specified
57364,5375,2023 INFINITI QX60 SENSORY,2023,New,Not available,"$65,718.00","MSRP $63,825"
70829,167,2022 Mercedes-Benz GLE 450 AWD 4MATIC,2022,New,Not available,"$74,260.00","MSRP $74,260"
49749,6060,2016 Hyundai Genesis 3.8,2016,Used,"74,714 mi.","$23,000.00",Not specified
81569,807,2022 Porsche 718 Boxster GTS,2022,Porsche Certified,586 mi.,"$113,991.00",Not specified
3281,3281,2021 Acura TLX Technology,2021,Used,"9,604 mi.","$35,594.00",$619 price drop
92193,1439,2016 Tesla Model S 75,2016,Used,"55,343 mi.","$34,995.00","$4,000 price drop"
42775,3624,2022 Ford Escape SE,2022,New,Not available,"$34,690.00",Not specified
87560,6798,2021 Porsche 718 Cayman GTS 4.0,2021,Used,"3,331 mi.","$115,000.00",Not specified
69040,8363,2011 Lexus ES 350 Base,2011,Used,"68,332 mi.","$16,940.00",Not specified
41276,2125,2022 Ford F-350 XL,2022,New,Not available,"$69,630.00",Not specified
95380,4626,2020 Tesla Model X Long Range,2020,Used,"32,000 mi.","$79,995.00",Not specified
99894,9140,2018 Tesla Model 3 Long Range,2018,Used,"14,344 mi.","$40,500.00",Not specified
51927,8238,2021 Hyundai Palisade SE,2021,Used,"58,452 mi.","$31,990.00",Not specified
9240,9240,2023 Acura Integra A-Spec,2023,New,Not available,"$35,095.00","MSRP $35,095"
44883,1194,2021 Hyundai Palisade SEL,2021,Used,"32,524 mi.","$36,795.00",Not specified
89424,8662,2021 Porsche Cayenne S,2021,Used,"18,463 mi.","$89,989.00",Not specified
83920,3158,2021 Porsche Cayenne AWD,2021,Used,"17,242 mi.","$79,900.00",Not specified
61322,645,2023 Lexus LX 600 Premium,2023,New,Not available,"$103,150.00","MSRP $103,150"
110236,4484,2019 Volkswagen Beetle 2.0T S,2019,Used,"20,406 mi.","$21,921.00",Not specified
88109,7347,2018 Porsche 718 Boxster,2018,Used,"16,141 mi.","$64,990.00",Not specified
66076,5399,2014 Lexus LS 460 Base,2014,Used,"140,725 mi.","$21,975.00",Not specified
65897,5220,2019 Lexus UX 200 F-SPORT,2019,Used,"34,362 mi.","$32,998.00",Not specified
55324,3335,2017 INFINITI Q50 3.0T Premium,2017,Used,"72,174 mi.","$20,997.00",Not specified
31470,2192,2022 Dodge Durango R/T,2022,New,Not available,"$64,930.00","MSRP $66,275"
71177,515,2023 Mercedes-Benz GLE 450 AWD 4MATIC,2023,New,Not available,"$82,915.00","MSRP $82,915"
50393,6704,2017 Hyundai Accent SE,2017,Used,"75,704 mi.","$12,388.00",Not specified
45609,1920,2022 Hyundai Sonata SEL,2022,Used,821 mi.,"$27,011.00",Not specified
32524,3246,2022 Dodge Challenger SRT Hellcat,2022,New,Not available,"$85,230.00","MSRP $85,980"
113644,7892,2023 Volkswagen Atlas Cross Sport 2.0T SEL,2023,New,Not available,"$48,938.00","MSRP $48,938"
28415,9136,2014 Chevrolet Silverado 1500 LT,2014,Used,"110,316 mi.","$21,660.00",Not specified
12150,2754,2023 BMW 540 i,2023,New,Not available,"$68,520.00","MSRP $68,520"
36372,7094,2013 Dodge Charger SE,2013,Used,"125,336 mi.","$9,995.00","$1,000 price drop"
11948,2552,2018 BMW 320 i xDrive,2018,Used,"53,250 mi.","$23,998.00",Not specified
76352,5690,2023 Mercedes-Benz Maybach S 580 4MATIC,2023,New,Not available,"$228,850.00","MSRP $228,850"
91021,267,2021 Tesla Model Y Long Range,2021,Used,"19,859 mi.","$49,000.00","$5,000 price drop"
58210,6221,2008 INFINITI G35 Journey,2008,Used,"160,591 mi.","$6,900.00",Not specified
101534,1610,2022 Toyota Tundra Hybrid Platinum,2022,New,Not available,"$72,622.00",Not specified
54403,2414,2023 INFINITI QX80 PREMIUM SELECT,2023,New,Not available,"$82,010.00","MSRP $84,510"
90442,9680,2022 Porsche Cayenne,2022,Porsche Certified,"4,137 mi.","$203,995.00",Not specified
72757,2095,2022 Mercedes-Benz S-Class S 580 4MATIC,2022,New,Not available,"$152,685.00","MSRP $152,685"
83365,2603,2003 Porsche 911 Turbo,2003,Used,"28,658 mi.","$115,900.00",Not specified
90060,9298,2019 Porsche Cayenne Base,2019,Used,"32,364 mi.","$54,494.00",Not specified
53711,1722,2013 INFINITI G37 Journey,2013,Used,"129,963 mi.","$11,995.00",Not specified
60355,8366,2023 INFINITI QX80 SENSORY,2023,New,Not available,"$87,955.00","MSRP $87,955"
75909,5247,2023 Mercedes-Benz GLS 450 4MATIC,2023,New,Not available,"$93,645.00","MSRP $93,645"
