userId,user_churned,average_events_weekend,average_events_weekday,num_songs_played_7d,num_ads_7d,num_error_7d,num_songs_played_30d,num_songs_played_90d,num_sessions,avg_time_per_session,avg_events_per_session,avg_gap_between_session,num_events,num_songs,num_artists,num_thumbs_down,num_thumbs_up,num_add_to_playlist,num_ads,num_add_friend,num_downgrade,num_upgrade,num_error,percentage_ad,days_since_active,repeats_ratio
11017,0,72.1111111111111,79.29787234042553,3615,5,5,3615,3615,46,19482.043478260868,95.1304347826087,7.4,4376,3615,2075,36,270,114,5,54,1,1,5,0.0011425959780621572,364,0.1676348547717842
11018,0,49.6,89.76923076923076,3309,8,3,3309,3309,39,21092.28205128205,102.48717948717949,8.973684210526315,3997,3309,1975,43,231,97,8,65,1,1,3,0.0020015011258443832,367,0.1414324569356301
11019,0,95.8181818181818,71.45945945945945,3060,23,3,3060,3060,40,19009.6,92.45,8.615384615384615,3698,3060,1863,24,198,99,23,44,1,1,3,0.006219578150351541,366,0.14803921568627454
11020,1,20.25,111.4,1919,2,3,1919,1919,20,24117.05,115.45,13.894736842105265,2309,1919,1273,17,124,65,2,23,1,1,3,0.0008661758336942398,314,0.12350182386659715
11021,0,85.06666666666666,79.53571428571429,4672,22,4,4672,4672,61,19042.06557377049,93.9344262295082,5.383333333333334,5730,4672,2464,51,329,152,22,92,1,1,4,0.0038394415357766148,363,0.1949914383561644
11022,0,115.4761904761905,94.3375,8287,39,3,8287,8287,88,23261.0,113.3181818181818,3.4597701149425286,9972,8287,3639,71,568,247,39,131,1,1,3,0.003910950661853189,360,0.2583564619283215
11023,0,97.66666666666669,137.33333333333334,908,10,1,908,908,9,25032.33333333333,124.11111111111113,38.25,1117,908,701,4,75,28,10,12,1,1,1,0.008952551477170993,365,0.06718061674008813
11024,1,72.8888888888889,90.84507042253522,6335,55,6,6335,6335,88,17900.18181818182,88.20454545454545,1.8505747126436785,7762,6335,3045,67,489,164,55,103,1,1,6,0.007085802628188611,203,0.2307813733228098
11025,1,89.0,43.125,664,0,0,664,664,15,10787.866666666667,51.93333333333333,5.7142857142857135,779,664,557,5,51,17,0,12,1,0,0,0.0,93,0.048192771084337394
11026,1,138.0,101.44444444444444,1941,20,5,1941,1941,19,25443.05263157895,125.15789473684212,3.5,2378,1941,1305,19,126,70,20,41,1,1,5,0.008410428931875526,73,0.1190108191653787
11027,1,77.75,67.31818181818181,1485,0,1,1485,1485,21,17658.238095238095,85.33333333333333,12.65,1792,1485,1074,11,96,38,0,42,1,0,1,0.0,290,0.09225589225589226
11028,0,42.0,46.5,598,43,1,598,598,16,9271.9375,48.5625,23.466666666666665,777,598,496,12,32,16,43,8,1,1,1,0.055341055341055344,363,0.061872909698996614
11029,1,112.0,88.83333333333331,1024,18,2,1024,1024,14,18243.571428571428,92.14285714285714,7.615384615384616,1290,1024,789,15,89,30,18,23,1,1,2,0.013953488372093023,122,0.05859375
11030,0,63.57142857142857,83.85185185185185,2206,17,3,2206,2206,29,18998.758620689656,93.41379310344827,11.714285714285715,2709,2206,1417,13,176,71,17,48,1,1,3,0.006275378368401624,352,0.1414324569356301
11031,1,16.0,138.33333333333334,694,4,0,694,694,8,22256.875,105.75,0.5714285714285714,846,694,579,4,47,18,4,18,1,1,0,0.0047281323877068565,11,0.044668587896253616
11032,0,68.15384615384616,94.0,4274,3,2,4274,4274,53,20020.716981132075,96.52830188679243,6.211538461538463,5116,4274,2355,31,287,126,3,78,1,0,2,0.0005863956215793589,363,0.1895180159101544
11033,1,71.8,63.875,1534,29,2,1534,1534,25,15164.76,75.68,12.25,1892,1534,1061,11,118,41,29,31,1,1,2,0.0153276955602537,315,0.09843546284224247
11034,1,115.85714285714286,66.64150943396227,3512,54,9,3512,3512,56,15472.392857142857,77.55357142857143,4.5272727272727264,4343,3512,2045,44,250,94,54,63,1,1,9,0.012433801519686852,277,0.16287015945330294
11035,0,0.0,33.75,103,9,0,103,103,4,6319.5,33.75,111.66666666666669,135,103,100,2,9,1,9,2,0,1,0,0.06666666666666668,341,0.01941747572815533
11036,1,86.83333333333331,64.42857142857143,1877,42,2,1877,1877,27,17249.85185185185,86.1111111111111,4.538461538461538,2325,1877,1255,26,129,52,42,28,1,1,2,0.01806451612903226,138,0.11134789557805004
11037,0,89.75,81.93103448275863,2249,18,3,2249,2249,30,18486.5,91.16666666666669,12.0,2735,2249,1430,25,163,69,18,30,1,1,3,0.006581352833638025,366,0.13783903957314358
11038,0,83.6,90.7,2937,20,7,2937,2937,35,20718.771428571432,101.62857142857143,10.0,3557,2937,1761,32,205,91,20,48,1,1,7,0.0056227157717177395,364,0.1542390194075587
11039,0,89.94117647058823,75.58536585365853,6288,8,9,6288,6288,96,16279.635416666664,80.48958333333333,3.2947368421052636,7727,6288,3028,68,478,193,8,121,1,1,9,0.0010353306587291317,362,0.2237595419847328
11040,1,80.66666666666667,97.8095238095238,6275,14,8,6275,6275,88,17645.465909090908,86.52272727272727,1.1839080459770115,7614,6275,3012,76,463,177,14,107,1,1,8,0.0018387181507748887,147,0.22772908366533864
11041,0,51.75,84.47368421052632,1490,5,1,1490,1490,20,18435.6,90.6,16.473684210526315,1812,1490,1073,16,106,46,5,26,1,1,1,0.0027593818984547464,335,0.09865771812080536
11042,0,77.9,69.55263157894737,2789,26,3,2789,2789,38,18134.078947368416,90.05263157894737,8.54054054054054,3422,2789,1744,21,196,84,26,63,1,1,3,0.007597895967270602,357,0.13696665471495162
11043,1,5.0,38.7,291,27,0,291,291,9,7959.333333333332,43.555555555555564,18.625,392,291,263,3,18,8,27,5,1,1,0,0.06887755102040816,155,0.030927835051546393
11044,0,87.4761904761905,95.67045454545456,8452,50,13,8452,8452,105,19954.47619047619,97.67619047619048,2.9423076923076925,10256,8452,3611,82,582,240,50,142,1,1,13,0.004875195007800311,367,0.26443445338381444
11045,1,74.94117647058823,55.4375,2524,13,1,2524,2524,43,14603.976744186044,70.88372093023256,3.095238095238096,3048,2524,1580,25,159,80,13,48,1,1,1,0.00426509186351706,155,0.1216323296354992
11046,0,49.2,52.48484848484848,1729,52,1,1729,1729,38,11277.631578947368,58.526315789473685,8.756756756756756,2224,1729,1169,24,138,45,52,32,1,1,1,0.023381294964028774,357,0.11104684788895314
11047,0,80.88235294117645,96.31944444444444,6898,9,9,6898,6898,75,22883.97333333333,110.8,4.22972972972973,8310,6898,3217,88,453,226,9,137,1,1,9,0.0010830324909747292,368,0.22934183821397505
11048,1,83.0,74.75,3549,10,6,3549,3549,49,17801.816326530614,88.12244897959185,3.208333333333333,4318,3549,2038,23,272,120,10,60,1,1,6,0.0023158869847151463,183,0.16962524654832345
11049,1,156.5,114.66666666666669,801,15,2,801,801,11,17711.909090909092,91.0,0.4,1001,801,650,9,60,28,15,20,1,1,2,0.014985014985014988,11,0.06367041198501877
11050,1,43.83333333333334,85.9090909090909,3366,25,4,3366,3366,42,20151.35714285714,96.26190476190477,8.073170731707316,4043,3366,1944,39,234,100,25,52,1,1,4,0.006183527083848627,357,0.16013071895424835
11051,1,93.71428571428572,115.1875,3596,19,4,3596,3596,47,18887.14893617021,92.38297872340424,0.8260869565217391,4342,3596,2023,40,243,98,19,74,1,1,4,0.004375863657300783,60,0.16963292547274744
11052,1,113.0,103.85714285714286,1503,9,0,1503,1503,18,20664.33333333333,99.61111111111113,1.5294117647058822,1793,1503,1057,16,104,38,9,25,1,1,0,0.00501952035694367,39,0.09647371922821024
11053,0,80.73913043478261,111.90804597701151,19033,99,27,19033,19033,239,19787.158995815902,97.01255230125523,0.9957983193277312,23186,19033,5928,194,1426,556,99,366,1,1,27,0.0042698179936168385,369,0.3754006199758314
11054,1,56.5,94.27777777777777,1451,19,1,1451,1451,19,18869.421052631584,95.26315789473685,1.1666666666666667,1810,1451,1028,9,117,49,19,38,1,1,1,0.010497237569060774,34,0.10475534114403863
11055,0,108.0,83.05172413793103,5177,31,12,5177,5177,64,19958.671875,97.203125,4.9682539682539675,6221,5177,2626,51,332,147,31,66,1,1,12,0.004983121684616621,366,0.20842186594552825
11056,1,241.0,146.875,1367,0,0,1367,1367,14,23828.785714285717,118.35714285714286,0.15384615384615385,1657,1367,1010,12,112,41,0,23,1,0,0,0.0,13,0.09583028529626923
11057,0,246.0,116.5,1138,0,1,1138,1138,7,39996.857142857145,203.42857142857144,47.5,1424,1138,855,12,85,47,0,35,1,0,1,0.0,310,0.08084358523725832
11058,0,79.57142857142857,77.37096774193549,4789,78,5,4789,4789,69,17135.492753623188,85.66666666666667,4.735294117647058,5911,4789,2534,45,338,131,78,91,1,1,5,0.01319573676196921,364,0.1939862184172061
11059,1,33.142857142857146,90.6086956521739,3580,20,6,3580,3580,48,18453.375,91.66666666666669,3.148936170212766,4400,3580,2041,47,255,112,20,82,1,1,6,0.004545454545454545,171,0.16592178770949714
11060,1,77.5,48.25,448,3,0,448,448,9,12172.555555555557,60.111111111111114,2.375,541,448,390,4,27,14,3,5,1,1,0,0.005545286506469501,27,0.049107142857142905
11061,1,74.625,94.1,3601,17,4,3601,3601,52,17117.346153846152,83.86538461538461,1.3333333333333333,4361,3601,2054,45,246,100,17,83,1,1,4,0.003898188488878698,107,0.17522910302693695
11062,0,83.96666666666667,83.90476190476191,9362,16,5,9362,9362,121,19201.900826446283,93.62809917355372,2.566666666666667,11329,9362,3897,115,638,277,16,191,1,1,5,0.0014123047047400474,366,0.27590258491775266
11063,1,0.0,26.75,84,5,0,84,84,4,5020.75,26.75,2.0,107,84,82,0,5,1,5,2,0,0,0,0.04672897196261682,27,0.0
11064,0,88.15789473684212,102.64166666666668,12981,19,16,12981,12981,146,22135.39726027397,107.3082191780822,1.986206896551724,15667,12981,4768,110,968,355,19,275,1,1,16,0.001212740154464799,366,0.31800323549803555
11065,0,0.0,94.0,1090,1,0,1090,1090,12,22637.16666666667,109.66666666666669,30.72727272727273,1316,1090,829,13,86,23,1,22,1,0,0,0.0007598784194528875,364,0.06880733944954133
11066,1,113.0,95.0,309,10,0,309,309,5,15200.6,79.6,1.5,398,309,276,7,19,9,10,6,1,1,0,0.02512562814070352,14,0.03883495145631066
11067,1,71.8888888888889,78.44827586206897,2431,0,3,2431,2431,40,15008.425,73.05,2.641025641025641,2922,2431,1544,26,165,74,0,39,1,0,3,0.0,125,0.12669683257918551
11068,1,353.0,50.904761904761905,1129,23,1,1129,1129,21,13285.47619047619,67.71428571428571,3.0,1422,1129,845,14,95,29,23,24,1,1,1,0.01617440225035162,80,0.09300265721877764
11069,0,70.1304347826087,73.18269230769229,7608,33,9,7608,7608,122,15453.893442622952,75.60655737704919,2.446280991735537,9224,7608,3468,66,525,228,33,135,1,1,9,0.003577623590633131,364,0.24066771819137744
11070,1,125.75,63.35,3294,37,5,3294,3294,47,17629.0,86.02127659574468,4.608695652173913,4043,3294,1928,37,233,103,37,58,1,1,5,0.009151620084095969,235,0.1697024893746205
11071,0,131.0,79.35714285714286,2629,17,1,2629,2629,29,22364.0,108.24137931034485,11.785714285714285,3139,2629,1613,23,191,69,17,35,1,1,1,0.00541573749601784,354,0.14720426017497146
11072,0,106.85714285714286,67.08,1979,4,3,1979,1979,27,18223.03703703704,89.81481481481481,12.730769230769232,2425,1979,1337,18,127,60,4,40,1,1,3,0.0016494845360824743,364,0.11520970186963107
11073,1,121.8,78.4375,2572,7,4,2572,2572,35,18262.17142857143,89.1142857142857,6.117647058823528,3119,2572,1647,21,184,74,7,44,1,1,4,0.0022443090734209684,232,0.12208398133748055
11074,0,41.0,89.60714285714286,2139,22,4,2139,2139,28,19113.25,94.0,11.888888888888891,2632,2139,1437,24,153,78,22,44,1,1,4,0.008358662613981762,378,0.12201963534361847
11075,0,84.07142857142857,76.41025641025641,3428,8,6,3428,3428,45,18943.688888888893,92.37777777777778,7.386363636363638,4157,3428,2008,42,226,116,8,73,1,1,6,0.0019244647582391148,365,0.15169194865810964
11076,0,74.93333333333334,96.93076923076923,12309,39,18,12309,12309,163,18782.153374233134,91.09815950920246,1.7839506172839503,14849,12309,4637,115,842,374,39,195,1,1,18,0.0026264394908748065,365,0.3157851978227313
11077,1,119.2,87.8,2655,16,3,2655,2655,35,18846.685714285715,92.28571428571428,0.9411764705882352,3230,2655,1614,19,182,72,16,37,1,1,3,0.004953560371517028,53,0.15630885122410546
11078,0,88.76190476190477,97.64197530864195,8070,36,9,8070,8070,90,22264.65555555556,108.58888888888887,3.49438202247191,9773,8070,3550,79,551,226,36,163,1,1,9,0.0036836181315870256,358,0.25662949194547713
11079,0,86.60714285714286,97.44329896907215,9770,38,11,9770,9770,120,20151.041666666668,98.975,2.5126050420168067,11877,9770,3990,114,708,305,38,169,1,1,11,0.003199461143386377,367,0.2792221084953941
11080,0,174.66666666666663,75.57894736842105,2069,2,4,2069,2069,19,26963.368421052633,130.73684210526315,18.33333333333333,2484,2069,1384,14,138,61,2,52,1,0,4,0.0008051529790660224,347,0.110681488641856
11081,1,40.0,58.714285714285715,407,0,0,407,407,9,11051.222222222224,54.555555555555564,1.5,491,407,336,4,26,7,0,6,1,0,0,0.0,17,0.041769041769041726
11082,0,63.66666666666666,90.72941176470587,7680,17,8,7680,7680,96,19767.96875,96.25,3.3157894736842106,9240,7680,3449,63,514,221,17,116,1,1,8,0.00183982683982684,366,0.2518229166666667
11083,0,71.66666666666667,74.22222222222223,2934,6,4,2934,2934,38,19208.078947368416,92.94736842105264,9.297297297297296,3532,2934,1769,33,189,86,6,60,1,1,4,0.0016987542468856172,362,0.15201090661213354
11084,1,23.0,66.0,228,2,0,228,228,6,8910.833333333334,47.83333333333334,0.8,287,228,213,1,15,7,2,2,1,1,0,0.006968641114982578,8,0.021929824561403462
11085,1,271.5,116.625,1219,2,2,1219,1219,8,37788.25,184.5,1.7142857142857142,1476,1219,905,10,87,30,2,21,1,0,2,0.0013550135501355016,28,0.08367514356029537
11086,1,73.0,92.85714285714286,1437,3,0,1437,1437,17,20730.941176470587,102.23529411764706,6.1875,1738,1437,1042,17,105,49,3,29,1,0,0,0.001726121979286536,115,0.09951287404314546
11087,1,84.21739130434783,92.34177215189872,7541,34,5,7541,7541,108,17150.703703703704,85.48148148148148,1.3457943925233644,9232,7541,3397,66,554,206,34,149,1,1,5,0.003682842287694974,199,0.24784511338018836
11088,1,35.0,79.2,356,0,1,356,356,6,15427.666666666664,71.83333333333333,4.2,431,356,320,1,26,5,0,11,1,0,1,0.0,33,0.0365168539325843
11089,0,119.0,107.92857142857143,2943,17,1,2943,2943,27,26989.222222222223,133.96296296296296,13.230769230769232,3617,2943,1782,42,222,87,17,56,1,1,1,0.004700027647221454,363,0.1563030920829086
11090,1,114.66666666666669,72.59375,2461,41,5,2461,2461,33,18467.060606060608,91.24242424242424,3.6875,3011,2461,1559,29,157,76,41,41,1,1,5,0.013616738625041515,141,0.12555871596911827
11091,0,82.52941176470588,76.42622950819674,4996,28,4,4996,4996,69,17996.405797101448,87.89855072463769,4.632352941176472,6065,4996,2595,38,351,164,28,97,1,1,4,0.004616652926628195,367,0.19315452361889507
11092,0,86.44444444444444,75.06849315068494,5788,32,10,5788,5788,83,17244.975903614457,84.77108433734941,3.7439024390243913,7036,5788,2936,54,435,163,32,102,1,1,10,0.004548038658328596,359,0.21475466482377334
11093,1,66.2,103.5223880597015,6538,7,5,6538,6538,88,18371.852272727272,90.10227272727272,0.8965517241379308,7929,6538,3145,72,427,207,7,99,1,1,5,0.0008828351620633119,127,0.22575711226674824
11094,1,57.875,98.55263157894736,3438,19,6,3438,3438,49,17264.428571428572,85.87755102040815,1.2083333333333333,4208,3438,2017,44,262,92,19,57,1,1,6,0.004515209125475285,87,0.16143106457242584
11095,0,89.19047619047619,78.3125,6644,65,11,6644,6644,90,18283.5,90.42222222222222,3.5505617977528083,8138,6644,3067,67,455,208,65,114,1,1,11,0.007987220447284345,360,0.2536122817579771
11096,0,108.66666666666669,92.61363636363636,8095,13,6,8095,8095,98,20605.755102040814,99.79591836734693,3.1958762886597936,9780,8095,3589,74,559,267,13,149,1,1,6,0.0013292433537832311,363,0.2555898702903027
11097,0,90.9090909090909,92.72727272727272,5030,23,10,5030,5030,57,21796.508771929824,107.01754385964912,5.9642857142857135,6100,5030,2636,38,385,158,23,85,1,1,10,0.003770491803278689,368,0.19483101391650104
11098,0,62.63636363636363,86.76190476190477,2106,3,3,2106,2106,26,20102.73076923077,96.57692307692308,12.32,2511,2106,1373,15,147,70,3,25,1,1,3,0.0011947431302270011,330,0.1310541310541311
11099,1,88.6,100.52173913043478,2644,21,6,2644,2644,29,22659.931034482757,110.27586206896551,4.75,3198,2644,1630,25,187,81,21,34,1,1,6,0.006566604127579739,153,0.14485627836611192
11100,0,135.625,62.67741935483871,2484,2,2,2484,2484,29,21381.72413793104,104.41379310344827,11.107142857142858,3028,2484,1591,15,201,89,2,40,1,0,2,0.0006605019815059445,363,0.12761674718196458
11101,0,94.95652173913044,84.65,7396,9,6,7396,7396,85,21432.929411764704,105.36470588235294,3.702380952380953,8956,7396,3341,79,511,240,9,141,1,0,6,0.0010049129075480126,367,0.24716062736614386
11102,0,91.1,78.85714285714286,3517,22,4,3517,3517,49,17549.34693877551,86.18367346938776,6.333333333333332,4223,3517,2038,33,229,98,22,59,1,1,4,0.0052095666587733845,340,0.15979528006823995
11103,1,74.4,92.24137931034485,2472,45,3,2472,2472,36,16906.472222222223,84.6388888888889,2.7428571428571433,3047,2472,1565,20,170,76,45,28,1,1,3,0.014768624876928128,118,0.13834951456310685
11104,0,32.875,88.59375,2549,3,7,2549,2549,37,17208.216216216217,83.72972972972974,9.472222222222221,3098,2549,1609,28,164,71,3,48,1,1,7,0.0009683666881859263,366,0.1439780306002354
11105,0,78.0,39.18181818181818,430,49,0,430,430,13,8107.615384615385,45.153846153846146,26.75,587,430,364,3,28,17,49,7,0,1,0,0.08347529812606473,344,0.0372093023255814
11106,0,68.0,87.25806451612905,2564,6,3,2564,2564,29,21918.96551724138,105.0,11.607142857142858,3045,2564,1621,26,182,63,6,32,1,1,3,0.0019704433497536944,342,0.13455538221528862
11107,0,66.46153846153847,83.88709677419354,4950,49,8,4950,4950,69,17803.985507246376,87.89855072463769,4.8088235294117645,6065,4950,2598,61,347,147,49,98,1,1,8,0.00807914262159934,368,0.1953535353535354
11108,0,42.5625,75.12121212121212,4568,39,10,4568,4568,76,14958.118421052632,74.19736842105263,4.253333333333333,5639,4568,2474,39,345,146,39,100,1,1,10,0.006916119879411243,366,0.18979859894921192
11109,0,104.33333333333331,159.36363636363637,1698,14,5,1698,1698,8,52562.625,258.25,45.14285714285714,2066,1698,1169,17,130,49,14,27,1,1,5,0.006776379477250726,352,0.1024734982332155
11110,1,113.5,109.15384615384615,1536,18,2,1536,1536,23,16622.434782608696,81.43478260869566,1.818181818181818,1873,1536,1091,12,112,51,18,19,1,1,2,0.009610250934329951,53,0.107421875
11111,1,68.47619047619048,87.9157894736842,8090,24,8,8090,8090,113,17727.0,86.63716814159292,2.5892857142857144,9790,8090,3537,82,596,251,24,109,1,1,8,0.0024514811031664963,349,0.25883807169344875
11112,0,48.33333333333334,43.384615384615394,531,28,1,531,531,14,9415.214285714286,50.64285714285714,25.84615384615385,709,531,452,3,39,17,28,9,1,1,1,0.039492242595204514,358,0.0433145009416196
11113,1,79.5,81.55555555555556,715,11,1,715,715,10,17979.6,89.3,2.6666666666666665,893,715,578,12,43,27,11,16,1,1,1,0.012318029115341543,29,0.060139860139860175
11114,1,54.75,84.52631578947368,1505,4,2,1505,1505,23,16024.217391304348,79.34782608695652,1.681818181818182,1825,1505,1083,19,97,42,4,21,1,1,2,0.0021917808219178076,50,0.09102990033222592
11115,1,85.07407407407408,93.73958333333331,9295,44,13,9295,9295,113,20402.309734513277,99.96460176991152,2.7410714285714284,11296,9295,3931,105,673,280,44,149,1,1,13,0.003895184135977337,363,0.2762775685852609
11116,0,110.0,89.07692307692308,1327,5,2,1327,1327,16,20621.25,99.875,20.33333333333333,1598,1327,982,15,95,47,5,14,1,1,2,0.0031289111389236545,330,0.08289374529012816
11117,0,89.24561403508774,119.86069651741293,24151,156,16,24151,24151,295,20369.44406779661,98.91186440677966,0.7517006802721088,29179,24151,6768,243,1667,653,156,367,1,1,16,0.0053463107029027715,374,0.4155521510496459
11118,1,59.0,24.285714285714285,171,4,3,171,171,8,5278.5,28.625,3.4285714285714284,229,171,160,2,11,6,4,5,1,1,3,0.017467248908296942,38,0.017543859649122858
11119,1,74.27272727272727,66.75,3059,24,6,3059,3059,52,14599.846153846154,72.19230769230771,3.4117647058823533,3754,3059,1833,29,218,69,24,52,1,1,6,0.006393180607352157,208,0.1467799934619156
11120,1,101.34782608695652,101.95098039215686,10475,27,12,10475,10475,131,19720.83969465649,97.17557251908396,1.2,12730,10475,4232,91,737,288,27,220,1,1,12,0.002120974076983504,224,0.2914558472553699
11121,1,113.72222222222223,96.03225806451613,9082,6,16,9082,9082,115,19572.460869565213,95.4608695652174,1.3157894736842106,10978,9082,3844,87,608,275,6,159,1,1,16,0.0005465476407360175,211,0.2678925346839903
11122,1,0.0,57.5,86,7,0,86,86,3,6660.666666666668,38.333333333333336,1.0,115,86,83,2,8,2,7,2,0,1,0,0.060869565217391314,3,0.011627906976744208
11123,1,39.66666666666666,86.33333333333331,2016,6,3,2016,2016,23,21652.130434782608,106.52173913043478,4.045454545454546,2450,2016,1326,18,138,61,6,42,1,1,3,0.0024489795918367346,109,0.12549603174603174
11124,1,88.66666666666669,87.65333333333334,6571,48,6,6571,6571,83,19759.34939759036,95.22891566265058,2.048780487804878,7904,6571,3095,68,412,176,48,117,1,1,6,0.006072874493927126,206,0.2354283975041851
11125,1,93.92,120.36559139784944,11288,18,8,11288,11288,120,23437.53333333333,112.85,1.0084033613445378,13542,11288,4347,93,750,311,18,197,1,1,8,0.001329198050509526,187,0.3034195605953225
11126,1,32.25,44.75,410,0,1,410,410,12,8437.416666666666,40.583333333333336,1.6363636363636365,487,410,356,1,23,13,0,5,1,1,1,0.0,32,0.03902439024390248
11127,0,73.36363636363636,81.66666666666667,4533,17,4,4533,4533,57,19789.368421052633,95.82456140350875,5.892857142857142,5462,4533,2397,45,328,114,17,69,1,1,4,0.003112413035518125,366,0.1872931833223032
11128,1,122.33333333333331,78.25581395348838,3997,53,4,3997,3997,46,21629.195652173912,105.06521739130434,6.377777777777778,4833,3997,2264,39,283,104,53,55,1,1,4,0.010966273536105938,316,0.16462346760070054
11129,0,64.75,85.35,1847,3,3,1847,1847,25,18506.4,89.0,14.458333333333336,2225,1847,1248,24,145,56,3,26,1,0,3,0.001348314606741573,366,0.11532214401732545
11130,0,75.94117647058823,61.30769230769231,3628,24,2,3628,3628,63,14214.888888888889,71.09523809523809,5.225806451612904,4479,3628,2111,39,282,130,24,74,1,1,2,0.00535833891493637,370,0.1576626240352812
11131,1,89.625,89.4642857142857,2611,36,2,2611,2611,35,18580.914285714287,92.05714285714286,2.2058823529411766,3222,2611,1618,26,212,76,36,48,1,1,2,0.0111731843575419,102,0.1309842972041363
11132,0,90.0,57.0,929,8,4,929,929,17,14058.882352941177,68.11764705882354,19.3125,1158,929,737,10,81,36,8,19,1,1,4,0.0069084628670120895,331,0.059203444564047365
11133,1,82.3,96.41095890410959,7148,41,9,7148,7148,101,17596.90099009901,85.98019801980196,1.0,8684,7148,3347,65,505,200,41,153,1,1,9,0.004721326577614003,155,0.2376888640179071
11134,1,98.11111111111113,83.47435897435899,6809,39,6,6809,6809,89,18903.460674157304,93.0,2.0568181818181817,8277,6809,3187,89,490,178,39,118,1,1,6,0.004711852120333454,229,0.2380672639154061
11135,0,43.66666666666666,60.354838709677416,1746,22,0,1746,1746,32,13502.625,66.65625,10.225806451612904,2133,1746,1205,18,112,52,22,27,1,1,0,0.010314111579934363,342,0.10252004581901486
11136,0,60.14285714285714,76.97058823529412,2529,18,5,2529,2529,35,18103.742857142857,86.8,10.205882352941176,3038,2529,1617,19,173,69,18,45,1,1,5,0.005924950625411454,368,0.12811387900355875
11137,0,51.0,86.28125,2550,35,3,2550,2550,35,17926.942857142858,89.0857142857143,10.147058823529411,3118,2550,1583,26,167,74,35,65,1,1,3,0.011225144323284156,371,0.13411764705882356
11138,1,73.25,107.7837837837838,3512,20,7,3512,3512,30,29267.93333333333,142.7,10.655172413793103,4281,3512,2060,27,261,121,20,77,1,1,7,0.00467180565288484,342,0.15945330296127558
