policy_id,incident_severity,num_vehicles_involved,num_injuries,num_witnesses,police_report_available,injury_claim,vehicle_claim,total_claim_amount,incident_month,incident_day,incident_dow,incident_hour,fraud,driver_relationship_self,driver_relationship_na,driver_relationship_spouse,driver_relationship_child,driver_relationship_other,incident_type_collision,incident_type_breakin,incident_type_theft,collision_type_front,collision_type_rear,collision_type_side,collision_type_na,authorities_contacted_police,authorities_contacted_none,authorities_contacted_fire,authorities_contacted_ambulance
11,1.0,2,0,1,1.0,0,17500,17500,2,11,0,5,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,0.0,2,0,1,1.0,0,5500,5500,1,3,3,13,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
13,0.0,2,0,1,0.0,0,11500,11500,10,26,5,16,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,1.0,1,0,0,0.0,0,11500,11500,9,25,2,12,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
15,0.0,2,1,0,0.0,14500,6500,21000,6,11,1,15,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,0.0,2,0,1,1.0,0,9000,9000,12,12,3,6,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,2.0,3,1,1,1.0,6000,36500,42500,8,28,2,11,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
18,1.0,3,0,1,1.0,0,19000,19000,11,17,6,20,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,1.0,3,0,2,1.0,0,11500,11500,9,27,4,7,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,1.0,2,0,0,1.0,0,20000,20000,9,23,0,20,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21,0.0,3,0,1,1.0,0,7000,7000,4,9,1,16,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
22,2.0,2,1,1,0.0,21000,32000,53000,8,9,4,5,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,0.0,1,0,0,0.0,0,14000,14000,4,15,0,12,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
24,2.0,3,1,3,1.0,25000,34000,59000,3,6,2,8,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,0.0,3,0,1,1.0,0,11000,11000,1,13,6,16,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,2.0,3,0,1,1.0,0,29000,29000,10,8,1,13,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,0.0,1,0,0,0.0,0,10500,10500,4,17,2,4,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
28,0.0,2,0,0,0.0,0,8500,8500,12,15,6,16,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,1.0,2,2,0,0.0,50000,9000,59000,2,23,5,19,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
30,1.0,3,0,3,1.0,0,17500,17500,2,21,3,15,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,0.0,1,0,0,0.0,0,14000,14000,10,5,5,8,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
32,0.0,1,0,0,0.0,0,15000,15000,5,7,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,0.0,2,1,0,0.0,15000,13500,28500,9,14,5,10,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,1.0,2,0,1,0.0,0,13000,13000,10,16,2,19,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35,2.0,3,1,3,1.0,9000,35000,44000,8,17,5,16,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,0.0,3,0,3,1.0,0,12000,12000,10,15,1,9,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,0.0,1,0,0,0.0,0,14000,14000,9,13,4,11,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
38,1.0,2,0,0,1.0,0,11500,11500,1,30,2,15,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,2.0,2,1,1,0.0,17000,32500,49500,11,30,5,16,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,0.0,2,0,1,0.0,0,10000,10000,5,6,0,8,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,1.0,3,0,1,1.0,0,12500,12500,7,18,3,9,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,0.0,2,0,1,0.0,0,4000,4000,3,21,3,15,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
43,1.0,2,1,0,1.0,13500,13500,27000,8,26,0,6,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
44,2.0,2,2,0,0.0,11000,40000,51000,1,14,0,20,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,1.0,1,0,0,0.0,0,17000,17000,7,12,4,11,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,0.0,1,0,0,0.0,0,2500,2500,11,3,6,16,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47,0.0,1,0,0,0.0,0,13000,13000,2,3,6,12,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
48,1.0,2,0,0,1.0,0,18000,18000,12,31,1,12,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
49,0.0,1,0,0,0.0,0,4000,4000,12,22,6,18,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
50,0.0,1,0,0,0.0,0,13500,13500,10,30,2,12,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
51,0.0,1,0,0,0.0,0,8500,8500,10,6,6,15,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
52,1.0,1,0,0,0.0,0,12000,12000,10,10,3,8,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
53,2.0,3,1,0,1.0,15000,29500,44500,2,6,2,12,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
54,0.0,2,0,2,0.0,0,12500,12500,10,1,1,13,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,0.0,1,0,0,0.0,0,13000,13000,5,23,3,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
56,2.0,3,1,1,1.0,6000,23500,29500,9,26,3,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
57,0.0,2,0,1,0.0,0,14500,14500,6,14,4,18,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
58,0.0,1,0,0,0.0,0,10500,10500,3,21,3,15,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
59,1.0,2,1,0,0.0,6000,24000,30000,11,15,4,12,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,0.0,2,0,0,0.0,0,13500,13500,3,14,3,6,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,1.0,2,0,1,1.0,0,19500,19500,1,19,5,16,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
62,2.0,3,0,0,1.0,0,39500,39500,3,31,6,6,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
63,0.0,2,0,0,0.0,0,11500,11500,11,22,4,17,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,2.0,2,2,1,1.0,9500,39500,49000,4,12,4,17,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
65,1.0,2,1,1,1.0,5500,18500,24000,8,16,4,16,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
66,1.0,2,0,0,0.0,0,26000,26000,11,8,4,19,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
67,2.0,3,4,2,1.0,28000,24500,52500,4,29,0,10,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
68,0.0,1,0,0,0.0,0,14000,14000,8,29,3,16,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
69,0.0,2,0,0,0.0,0,14500,14500,10,25,4,13,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
70,1.0,2,1,2,1.0,5000,16000,21000,6,3,0,13,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
71,1.0,2,0,2,0.0,0,20500,20500,4,12,4,13,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
72,2.0,2,1,0,0.0,25000,32500,57500,3,14,3,10,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
73,2.0,3,1,2,1.0,500,38500,39000,8,21,2,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
74,1.0,2,1,0,0.0,25000,10000,35000,7,17,2,4,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
75,2.0,2,1,0,0.0,45000,23000,68000,8,27,1,12,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
76,0.0,2,1,1,0.0,7000,9000,16000,3,27,2,6,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
77,2.0,3,4,2,1.0,14000,36000,50000,10,25,4,14,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
78,0.0,2,0,1,0.0,0,11500,11500,5,19,6,17,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
79,1.0,1,0,0,0.0,0,17000,17000,11,17,6,19,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
80,0.0,2,0,0,0.0,0,8500,8500,3,10,6,14,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81,0.0,1,0,0,0.0,0,15500,15500,12,31,1,3,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
82,1.0,2,0,2,0.0,0,15500,15500,4,29,0,12,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
83,1.0,1,0,0,0.0,0,15500,15500,1,30,2,10,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
84,0.0,1,0,0,0.0,0,8500,8500,1,12,5,13,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
85,0.0,1,0,0,0.0,0,11500,11500,8,26,0,2,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
86,0.0,2,0,4,0.0,0,11500,11500,6,17,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
87,0.0,1,0,1,0.0,0,12000,12000,8,18,6,14,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
88,0.0,2,0,1,0.0,0,21500,21500,2,20,2,17,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
89,2.0,3,1,1,1.0,8500,31500,40000,5,17,4,7,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
90,1.0,2,1,1,1.0,2500,19500,22000,6,16,6,19,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
91,0.0,1,0,0,0.0,0,10500,10500,5,19,6,18,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
92,1.0,2,1,1,0.0,25000,21500,46500,11,20,2,12,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
93,2.0,3,1,1,1.0,30000,36000,66000,9,16,0,17,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
94,0.0,2,0,0,0.0,0,7000,7000,11,1,4,12,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95,1.0,2,0,0,1.0,0,11500,11500,9,29,6,13,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
96,0.0,2,1,0,0.0,32500,10500,43000,12,27,4,10,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
97,0.0,1,0,0,0.0,0,12000,12000,11,5,1,10,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
98,0.0,1,0,0,0.0,0,6500,6500,12,26,3,14,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
99,0.0,1,0,0,0.0,0,13500,13500,10,29,1,18,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
100,1.0,2,0,0,0.0,0,12500,12500,6,4,1,11,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
101,2.0,2,0,2,0.0,0,33000,33000,2,8,4,14,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
102,1.0,2,0,0,0.0,0,8000,8000,5,20,0,15,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
103,1.0,2,2,1,1.0,17000,17500,34500,12,7,5,12,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
104,0.0,2,0,1,0.0,0,6500,6500,7,8,0,22,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
105,0.0,1,0,0,0.0,0,12000,12000,4,22,0,18,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
106,1.0,1,0,0,0.0,0,17000,17000,7,17,2,12,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
107,1.0,3,0,0,1.0,0,8500,8500,10,28,0,18,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
108,0.0,2,0,1,0.0,0,8500,8500,9,3,1,19,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
109,1.0,2,1,0,0.0,13000,12500,25500,7,26,4,9,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
110,0.0,2,0,2,0.0,0,13000,13000,12,25,2,20,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
111,0.0,2,0,0,0.0,0,9000,9000,8,23,4,6,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
112,2.0,2,1,1,0.0,13000,29500,42500,2,8,4,7,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
113,0.0,1,0,0,0.0,0,11500,11500,10,27,6,20,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
114,2.0,2,1,2,0.0,25000,31500,56500,2,20,2,5,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
115,2.0,3,1,3,1.0,25000,30000,55000,11,17,6,7,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
116,1.0,3,1,5,1.0,25000,15000,40000,3,7,3,15,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
117,0.0,2,0,0,0.0,0,17000,17000,12,4,2,17,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
118,1.0,6,3,5,1.0,50000,14000,64000,10,3,3,15,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
119,1.0,2,0,0,0.0,0,26500,26500,10,25,4,6,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
120,0.0,1,0,0,0.0,0,8500,8500,12,22,6,7,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
121,2.0,1,0,0,0.0,0,32000,32000,4,6,5,19,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
122,0.0,3,0,0,1.0,0,9500,9500,5,1,2,9,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
123,0.0,1,0,0,0.0,0,1000,1000,7,26,4,20,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
124,1.0,3,0,2,1.0,0,19000,19000,8,15,3,15,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
125,1.0,1,0,1,0.0,0,14500,14500,8,9,4,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
126,0.0,2,0,1,0.0,0,8000,8000,9,9,0,14,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
127,1.0,1,0,0,0.0,0,16500,16500,12,8,6,17,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
128,0.0,1,0,0,0.0,0,7000,7000,3,19,1,9,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
129,0.0,2,0,2,0.0,0,14500,14500,1,28,0,16,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
130,0.0,1,0,0,0.0,0,8000,8000,1,25,4,16,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
131,0.0,2,0,0,0.0,0,15500,15500,6,25,1,12,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
132,0.0,2,0,1,0.0,0,14000,14000,7,6,5,10,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
133,1.0,2,2,1,1.0,4500,17000,21500,12,28,5,9,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
134,2.0,3,0,2,1.0,0,32000,32000,2,7,3,10,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
135,0.0,1,0,0,0.0,0,11500,11500,4,26,4,10,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
136,2.0,3,1,0,1.0,9500,32500,42000,10,20,6,4,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
137,1.0,2,1,0,1.0,1500,11000,12500,2,19,1,15,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
