,policy_id,driver_relationship_child,policy_state_nv,authorities_contacted_fire,collision_type_front,incident_day,policy_deductable,num_vehicles_involved,num_claims_past_year,policy_state_wa,policy_state_id,policy_liability,incident_type_collision,collision_type_side,customer_gender_female,authorities_contacted_ambulance,driver_relationship_na,num_insurers_past_5_years,policy_state_az,incident_type_theft,authorities_contacted_police,policy_state_ca,num_injuries,incident_month,customer_age,authorities_contacted_none,num_witnesses,total_claim_amount,policy_annual_premium,customer_gender_male,months_as_customer,driver_relationship_spouse,vehicle_claim,policy_state_or,police_report_available,incident_dow,fraud,injury_claim,incident_severity,incident_type_breakin,collision_type_rear,incident_hour,driver_relationship_self,driver_relationship_other,auto_year,customer_education,collision_type_na
10,64,0,0,0,0,12,750,2,0,0,0,1,1,1,0,0,0,3,0,0,1,1,2,4,40,0,1,49000.0,3000,1,47,0,39500.0,0,1,4,0,9500.0,2,0,0,17,1,0,2019,1,0
11,1760,0,0,0,1,8,750,3,0,0,0,1,1,0,0,0,0,3,0,0,1,0,0,2,41,0,0,18500.0,3000,1,33,0,18500.0,1,1,4,0,0.0,1,0,0,1,1,0,2017,1,0
12,1760,0,0,0,1,8,750,3,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2,40,0,0,18500.0,3000,1,81,0,18500.0,0,1,4,0,0.0,1,0,0,1,1,0,2018,1,0
13,3398,0,0,0,0,28,900,3,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,6,44,0,3,47000.0,3000,1,61,0,32000.0,0,1,4,0,15000.0,2,0,1,8,0,1,2018,3,0
14,3402,0,0,0,1,20,750,3,0,1,0,1,1,0,0,0,0,1,0,0,1,0,4,11,34,0,0,42500.0,3000,1,8,0,35500.0,0,1,2,0,7000.0,2,0,0,15,1,0,2019,3,0
15,3420,0,0,0,0,4,750,3,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,3,21,0,2,18000.0,3000,1,27,0,18000.0,0,1,0,0,0.0,1,0,0,18,0,1,2019,1,0
16,102,0,0,0,0,20,750,2,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,5,67,0,0,8000.0,2700,1,130,0,8000.0,0,0,0,0,0.0,1,0,0,15,1,0,2015,4,0
17,3441,0,0,0,0,25,750,2,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,3,52,0,0,44500.0,3000,1,80,0,28500.0,0,0,0,0,16000.0,2,0,0,9,1,0,2014,4,0
18,1812,0,0,0,1,30,750,3,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,7,35,0,0,41500.0,3000,1,110,0,41500.0,0,1,1,0,0.0,2,0,0,4,1,0,2017,3,0
19,1816,0,1,0,1,1,750,2,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,12,58,1,2,12000.0,3000,0,131,0,12000.0,0,0,6,0,0.0,0,0,0,8,1,0,2017,1,0
20,3447,0,0,0,1,6,750,3,0,0,0,0,1,0,0,0,0,2,0,0,1,1,3,7,25,0,1,65500.0,3000,1,44,0,35500.0,0,1,5,0,30000.0,2,0,0,1,1,0,2018,3,0
21,3451,0,0,0,1,2,750,2,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,8,48,0,2,17500.0,3000,0,90,0,17500.0,0,0,4,0,0.0,1,0,0,12,1,0,2016,3,0
22,3454,0,0,0,0,3,750,2,0,0,0,2,1,0,1,0,0,1,0,0,0,1,0,10,54,1,2,8500.0,3000,0,164,0,8500.0,0,0,3,0,0.0,0,0,1,9,1,0,2011,3,0
23,141,0,0,0,1,30,750,2,0,1,0,3,1,0,0,1,0,1,0,0,0,0,1,5,67,0,2,45500.0,2950,1,132,0,36000.0,0,0,3,0,9500.0,2,0,0,16,1,0,2017,3,0
24,3462,0,0,0,1,31,750,4,0,0,0,3,1,0,0,0,0,1,0,0,1,1,0,10,27,0,2,12000.0,3000,0,82,0,12000.0,0,1,3,0,0.0,1,0,0,8,1,0,2018,4,0
25,3465,1,0,0,0,6,750,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,6,70,1,0,12000.0,3000,0,118,0,12000.0,0,0,3,0,0.0,0,0,1,12,0,0,2019,3,0
26,1863,1,1,0,0,27,750,2,1,0,0,2,1,0,1,0,0,1,0,0,0,0,0,6,75,1,0,7500.0,3000,0,210,0,7500.0,0,0,3,0,0.0,0,0,1,12,0,0,2018,2,0
27,1863,1,0,0,0,27,750,2,0,0,0,2,1,0,1,0,0,4,0,0,0,1,0,6,53,1,0,7500.0,3000,0,3,0,7500.0,0,0,3,0,0.0,0,0,1,12,0,0,2018,2,0
28,3499,0,0,1,1,31,750,2,0,0,0,1,1,0,1,0,0,1,0,0,0,1,3,5,58,0,0,37000.0,3000,0,185,0,27000.0,0,0,4,0,10000.0,2,0,0,11,1,0,2020,3,0
29,186,0,0,0,1,30,750,3,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,5,35,0,0,15500.0,3000,0,107,0,8500.0,0,1,3,0,7000.0,2,0,0,12,1,0,2016,1,0
30,3505,1,0,0,0,14,750,2,0,1,0,2,1,1,0,0,0,1,0,0,1,0,0,1,45,0,0,22500.0,3000,0,233,0,22500.0,0,1,0,0,0.0,1,0,0,15,0,0,2016,3,0
31,195,1,0,0,0,23,750,3,0,0,0,0,1,1,0,0,0,1,1,0,1,0,4,8,35,0,2,46000.0,3000,1,105,0,16000.0,0,1,4,0,30000.0,2,0,0,9,0,0,2011,4,0
32,195,1,0,0,0,23,750,3,0,0,0,1,1,1,0,0,0,1,0,0,1,1,4,8,31,0,2,46000.0,2700,1,127,0,16000.0,0,1,4,0,30000.0,2,0,0,9,0,0,2019,4,0
33,3512,0,0,0,0,1,750,4,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,6,51,0,1,16500.0,2400,1,196,0,16500.0,0,1,5,0,0.0,2,0,0,13,1,0,2011,1,0
34,1870,0,1,0,1,9,750,2,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,4,39,0,3,68000.0,3000,0,113,0,43000.0,0,0,1,0,25000.0,2,0,0,9,0,1,2016,1,0
35,1882,0,0,0,0,21,750,3,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,49,0,3,12500.0,3000,1,142,1,12500.0,0,1,0,0,0.0,1,0,1,17,0,0,2016,4,0
36,1900,0,0,0,0,25,750,1,0,0,0,3,1,1,0,0,0,1,0,0,1,1,0,9,64,0,0,13500.0,3000,1,61,0,13500.0,0,0,2,0,0.0,0,0,0,12,1,0,2015,4,0
37,1900,0,0,0,0,25,750,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,9,57,0,0,13500.0,3000,0,199,0,13500.0,0,0,2,0,0.0,0,0,0,12,1,0,2015,4,0
38,1915,0,0,0,0,5,750,3,0,0,0,0,1,0,0,0,0,2,0,0,1,1,3,1,62,0,1,43000.0,3000,1,42,0,32500.0,0,1,5,0,10500.0,2,0,1,12,1,0,2016,3,0
39,1923,0,0,0,0,23,750,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,65,1,0,10000.0,3000,0,165,0,10000.0,0,0,2,0,0.0,0,0,0,7,1,0,2017,3,0
40,1927,1,0,0,0,14,750,3,0,0,0,1,1,0,1,0,0,3,1,0,1,0,0,2,23,0,2,6500.0,3000,0,30,0,6500.0,0,1,3,0,0.0,0,0,1,22,0,0,2016,3,0
41,3553,0,0,0,0,27,750,2,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,3,45,0,0,20000.0,3000,0,90,0,10500.0,0,0,2,0,9500.0,1,0,0,5,1,0,2010,1,0
42,3559,0,0,0,0,21,750,3,0,0,0,2,1,1,0,0,0,1,0,0,1,0,1,8,49,0,2,48000.0,2550,1,291,0,33500.0,1,1,2,0,14500.0,2,0,0,11,1,0,2015,4,0
43,3577,0,0,0,1,7,750,2,0,1,0,2,1,0,1,0,0,1,0,0,1,0,4,6,55,0,0,41500.0,3000,0,145,0,8000.0,0,1,4,0,33500.0,2,0,0,20,1,0,2005,1,0
44,1965,0,0,1,0,14,750,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,8,40,0,1,47500.0,3000,1,57,1,32500.0,0,0,2,0,15000.0,2,0,1,10,0,0,2015,1,0
45,280,0,0,0,0,10,750,1,0,0,0,2,0,0,1,0,1,1,0,1,1,1,0,3,56,0,0,21500.0,2850,0,161,0,21500.0,0,0,6,0,0.0,1,0,0,14,0,0,2019,0,1
46,1969,0,0,0,0,14,750,1,0,1,0,1,0,0,0,0,1,2,0,0,1,0,0,12,21,0,0,2500.0,3000,1,19,0,2500.0,0,0,5,0,0.0,0,1,0,4,0,0,2011,3,1
47,300,0,0,0,0,10,750,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,10,49,1,2,13000.0,2750,1,53,0,13000.0,1,0,3,0,0.0,0,0,1,8,1,0,2020,1,0
48,1986,0,0,0,0,1,750,2,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,6,38,1,2,13000.0,2900,1,183,0,13000.0,0,0,5,0,0.0,0,0,0,4,0,1,2017,3,0
49,1986,0,0,0,0,1,750,2,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,6,37,1,2,13000.0,3000,0,82,0,13000.0,0,0,5,0,0.0,0,0,0,4,0,1,2015,3,0
50,3626,0,0,0,1,11,750,2,0,1,0,2,1,0,1,0,0,1,0,0,1,0,2,7,69,0,3,53000.0,2600,0,176,0,30000.0,0,1,3,0,23000.0,2,0,0,13,1,0,2018,3,0
51,1990,0,0,0,1,6,750,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,41,1,3,5500.0,3000,1,169,0,5500.0,0,0,2,0,0.0,0,0,0,4,1,0,2018,3,0
52,307,0,0,0,1,15,750,4,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,5,74,0,2,32500.0,3000,1,13,0,32500.0,0,1,2,0,0.0,2,0,0,12,1,0,2015,1,0
53,3634,0,0,0,0,29,750,2,0,0,0,0,1,1,0,0,0,5,1,0,0,0,0,10,48,1,0,9000.0,3000,1,13,0,9000.0,0,0,1,1,0.0,0,0,0,19,1,0,2016,3,0
54,3634,0,0,0,0,29,750,2,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,10,21,1,0,9000.0,3000,1,19,0,9000.0,0,0,1,1,0.0,0,0,0,19,1,0,2019,3,0
55,3635,0,0,0,1,30,750,2,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,6,61,1,1,25500.0,3000,0,221,0,13500.0,0,0,6,0,12000.0,0,0,0,10,1,0,2019,3,0
56,2018,0,0,0,1,6,750,2,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,10,69,0,0,8500.0,3000,1,311,0,8500.0,0,1,6,0,0.0,1,0,0,17,0,1,2016,3,0
57,2027,0,0,0,0,22,750,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,49,1,0,17500.0,3000,1,100,0,17500.0,0,0,1,0,0.0,0,0,1,0,1,0,2013,3,0
58,2027,0,0,0,0,22,750,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,39,1,0,17500.0,2800,0,61,0,17500.0,0,0,1,0,0.0,0,0,1,0,1,0,2017,3,0
59,2032,0,0,0,0,8,750,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,8,61,0,0,9500.0,3000,0,297,0,9500.0,0,0,3,0,0.0,0,1,0,7,0,0,2018,4,1
60,348,0,1,0,0,18,750,2,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,2,42,0,0,32000.0,3000,1,107,0,24000.0,0,1,0,0,8000.0,1,0,0,17,1,0,2017,3,0
61,348,0,0,0,0,18,750,2,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,2,51,0,0,32000.0,3000,1,70,0,24000.0,0,1,0,0,8000.0,1,0,0,17,1,0,2014,3,0
62,352,0,0,0,0,11,750,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,4,45,0,0,8500.0,3000,0,197,0,8500.0,0,0,3,0,0.0,0,1,0,11,0,0,2016,3,1
63,3667,0,0,0,0,7,750,3,7,0,1,1,1,1,0,0,0,1,0,0,1,0,1,9,65,0,2,60000.0,3000,1,153,1,35000.0,0,1,5,0,25000.0,2,0,0,19,0,0,2018,3,0
64,3687,0,0,0,0,27,750,2,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,6,45,0,0,14000.0,2800,1,207,0,14000.0,0,1,3,0,0.0,1,0,1,18,1,0,2018,2,0
65,385,0,0,0,0,11,750,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,9,57,1,0,14500.0,3000,1,183,0,14500.0,0,0,2,0,0.0,0,0,0,16,1,0,2018,3,0
66,2088,0,0,0,1,19,750,2,0,0,0,2,1,0,1,0,0,3,0,0,0,1,0,8,27,1,0,11500.0,3000,0,15,0,11500.0,0,0,0,0,0.0,0,0,0,20,1,0,2017,4,0
67,2089,0,0,0,1,10,750,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,3,30,1,0,1000.0,2950,1,51,0,1000.0,0,0,6,0,0.0,0,0,0,15,1,0,2012,1,0
68,2102,0,0,0,1,16,750,2,0,0,0,3,1,0,1,1,0,1,0,0,0,1,0,1,39,0,1,4000.0,2750,0,78,0,4000.0,0,0,2,0,0.0,1,0,0,11,1,0,2013,3,0
69,3738,0,0,0,0,29,750,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,62,0,1,19500.0,3000,0,82,0,19500.0,0,0,1,0,0.0,0,1,0,13,0,0,2017,3,1
70,3742,0,0,0,0,10,750,3,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,11,62,0,1,25500.0,2700,0,138,0,25500.0,0,1,6,0,0.0,2,0,1,13,1,0,2019,2,0
71,2145,0,0,0,0,17,750,1,0,0,0,2,0,0,0,0,1,1,0,1,1,1,0,9,58,0,0,19000.0,3000,1,262,0,19000.0,0,0,1,0,0.0,1,0,0,18,0,0,2019,4,1
72,3773,0,0,0,0,13,750,2,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,9,34,0,1,16000.0,2700,1,18,0,16000.0,0,0,4,1,0.0,1,0,0,5,1,0,2015,1,0
73,3776,0,0,0,1,29,750,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,4,69,1,3,8000.0,2850,1,74,1,8000.0,0,0,0,0,0.0,0,0,0,21,0,0,2017,3,0
74,3791,0,0,0,1,7,750,2,0,0,0,1,1,0,0,0,0,2,0,0,1,1,2,11,39,0,0,24000.0,2800,1,40,0,10000.0,0,0,3,0,14000.0,1,0,0,17,1,0,2016,4,0
75,3798,0,0,0,0,25,750,1,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,4,20,0,0,11000.0,3000,1,18,0,11000.0,0,0,3,0,0.0,0,1,0,15,0,0,2020,3,1
76,479,0,0,0,1,25,750,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,36,1,1,12000.0,3000,1,41,0,12000.0,0,0,0,0,0.0,0,0,0,5,1,0,2015,3,0
77,3807,0,0,0,0,21,750,1,0,0,0,1,0,0,1,0,1,2,0,0,1,1,0,4,45,0,0,12500.0,2750,0,54,0,12500.0,0,0,6,0,0.0,1,1,0,6,0,0,2020,3,1
78,494,0,1,0,1,24,750,3,0,0,0,2,1,0,0,0,0,1,0,0,1,0,3,9,61,0,0,75500.0,2450,1,103,0,32500.0,0,1,1,0,43000.0,2,0,0,10,1,0,2015,3,0
79,494,0,0,0,1,24,750,3,0,0,0,3,1,0,0,0,0,1,1,0,1,0,3,9,35,0,0,75500.0,3000,1,80,0,32500.0,0,1,1,0,43000.0,2,0,0,10,1,0,2017,3,0
80,2182,0,0,0,0,20,750,2,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,5,25,0,2,20000.0,3000,1,8,0,20000.0,0,1,0,0,0.0,1,0,0,15,1,0,2010,3,0
81,3820,1,0,0,0,20,750,2,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,8,49,0,0,16500.0,3000,1,68,0,16500.0,0,0,1,0,0.0,1,0,1,8,0,0,2017,4,0
82,3822,0,0,0,0,10,750,4,0,0,0,2,1,1,1,0,0,1,0,0,1,1,0,8,28,0,3,13000.0,2800,0,76,0,13000.0,0,1,5,0,0.0,0,0,0,17,1,0,2020,1,0
83,508,1,0,0,0,25,750,2,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,6,34,1,2,12000.0,2650,0,105,0,12000.0,0,0,1,0,0.0,0,0,0,11,0,0,2017,1,0
84,508,1,0,0,0,25,750,2,0,0,0,2,1,1,1,0,0,1,0,0,0,1,0,6,59,1,2,12000.0,2200,0,158,0,12000.0,0,0,1,0,0.0,0,0,0,11,0,0,2005,1,0
85,2221,0,0,0,1,30,800,2,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,10,32,0,0,18500.0,2700,1,67,0,18500.0,0,0,2,0,0.0,1,0,0,12,1,0,2017,2,0
86,523,0,0,0,0,14,750,3,0,0,0,1,1,0,0,0,0,2,0,0,1,1,0,3,18,0,3,15500.0,3000,1,4,1,15500.0,0,1,3,0,0.0,1,0,1,15,0,0,2015,0,0
87,529,0,0,0,1,6,750,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,4,43,1,1,11000.0,3000,0,262,0,11000.0,0,0,5,0,0.0,0,0,0,16,1,0,2014,2,0
88,535,0,0,0,0,9,750,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,3,45,0,1,6500.0,2800,0,135,0,6500.0,0,0,5,0,0.0,0,1,0,13,0,0,2018,1,1
89,2238,0,0,0,0,11,750,1,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,1,46,1,0,3500.0,3000,0,39,0,3500.0,0,0,4,0,0.0,0,0,1,2,1,0,2014,4,0
90,3865,1,0,0,0,12,750,2,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,9,24,1,1,12500.0,3000,1,46,0,12500.0,0,0,3,0,0.0,0,0,1,18,0,0,2016,2,0
91,554,0,0,0,0,10,750,2,0,0,0,3,1,1,0,0,0,1,0,0,0,1,0,1,43,1,0,11000.0,3000,1,135,0,11000.0,0,0,3,0,0.0,0,0,0,16,1,0,2017,3,0
92,3881,0,0,0,0,19,750,2,0,0,0,2,1,0,1,0,0,1,0,0,1,1,3,1,36,0,1,18500.0,3000,0,124,0,17000.0,0,1,5,0,1500.0,1,0,1,9,1,0,2014,3,0
93,559,0,0,0,1,6,750,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,11,22,1,0,6500.0,3000,1,41,0,6500.0,0,0,2,0,0.0,0,0,0,13,1,0,2015,1,0
94,559,0,0,0,1,6,750,1,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,11,20,1,0,6500.0,3000,1,20,0,6500.0,0,0,2,0,0.0,0,0,0,13,1,0,2016,1,0
95,579,0,0,0,0,6,750,2,0,0,0,1,1,0,0,0,0,1,0,0,1,1,2,3,63,0,2,39000.0,3000,1,241,0,33000.0,0,0,2,0,6000.0,2,0,1,15,1,0,2016,1,0
96,3907,0,0,0,1,17,750,3,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,5,63,0,0,26000.0,3000,1,80,0,15500.0,0,1,4,0,10500.0,1,0,0,13,1,0,2013,1,0
97,3907,0,0,0,1,17,750,3,0,0,0,3,1,0,0,0,0,5,0,0,1,1,1,5,24,0,0,26000.0,3000,1,5,0,15500.0,0,1,4,0,10500.0,1,0,0,13,1,0,2016,1,0
98,3914,0,0,0,1,24,750,3,0,0,0,3,1,0,0,0,0,1,0,0,1,1,3,9,27,0,1,56000.0,2950,1,81,0,19000.0,0,1,1,0,37000.0,1,0,0,14,1,0,2018,4,0
99,3914,0,0,0,1,24,750,3,0,0,0,1,1,0,0,0,0,1,0,0,1,1,3,9,42,0,1,56000.0,3000,1,67,0,19000.0,0,1,1,0,37000.0,1,0,0,14,1,0,2015,4,0
100,3934,0,0,0,0,20,750,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,12,61,1,0,9000.0,3000,0,209,0,9000.0,0,0,4,0,0.0,0,0,0,14,1,0,2017,3,0
101,618,0,0,0,1,15,750,3,0,0,0,0,1,0,0,0,0,1,0,0,1,1,4,10,47,0,2,48500.0,3000,1,258,0,23500.0,0,1,1,0,25000.0,2,0,0,18,1,0,2013,4,0
102,2284,0,0,0,0,30,750,3,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,4,49,0,3,15000.0,3000,1,112,0,15000.0,1,1,1,0,0.0,1,0,0,13,1,0,2013,3,0
103,2287,0,0,0,1,26,750,4,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,2,56,0,3,21500.0,3000,0,130,0,21500.0,0,1,1,0,0.0,2,0,0,4,1,0,2019,3,0
104,2305,0,0,0,0,3,750,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,3,66,0,0,13000.0,3000,1,264,0,13000.0,0,1,6,0,0.0,1,0,0,7,0,0,2013,4,1
105,2305,0,0,0,0,3,750,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,3,31,0,0,13000.0,3000,1,59,0,13000.0,0,1,6,0,0.0,1,0,0,7,0,0,2016,4,1
106,659,0,0,0,0,23,750,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,11,56,1,0,14000.0,3000,1,150,0,14000.0,0,0,5,0,0.0,0,0,1,5,1,0,2019,1,0
107,659,0,0,0,0,23,750,2,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,11,35,1,0,14000.0,3000,1,91,0,14000.0,0,0,5,0,0.0,0,0,1,5,1,0,2017,1,0
108,669,0,0,0,1,8,750,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,2,65,0,1,1000.0,3000,1,69,0,1000.0,0,1,4,0,0.0,1,0,0,6,1,0,2018,1,0
109,2333,1,0,0,1,6,750,2,0,0,0,2,1,0,1,0,0,1,0,0,1,1,0,10,61,0,0,22000.0,3000,0,204,0,22000.0,0,0,6,0,0.0,1,0,0,7,0,0,2019,3,0
110,671,0,0,0,0,13,750,1,2,0,0,2,0,0,0,0,1,1,0,1,1,1,0,10,43,0,0,8000.0,3000,1,155,0,8000.0,0,0,6,0,0.0,1,0,0,14,0,0,2011,3,1
111,671,0,0,0,0,13,750,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,10,62,0,0,8000.0,2450,0,113,0,8000.0,0,0,6,0,0.0,1,0,0,14,0,0,2017,3,1
112,3974,0,0,0,0,23,750,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,8,48,0,0,13500.0,3000,0,81,0,13500.0,1,0,4,0,0.0,1,0,0,6,0,0,2018,4,1
113,678,0,0,0,0,11,750,2,0,1,0,2,1,0,0,0,0,2,0,0,1,0,0,11,36,0,0,15000.0,3000,1,27,0,15000.0,0,0,0,0,0.0,1,0,1,6,0,1,2016,3,0
114,3978,0,0,0,0,21,750,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,3,28,1,2,7500.0,2850,1,61,0,7500.0,1,0,3,0,0.0,0,0,0,14,1,0,2019,3,0
115,3982,0,0,0,1,10,750,3,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,12,49,0,3,49500.0,3000,0,110,0,47000.0,0,1,1,0,2500.0,2,0,0,21,1,0,2020,3,0
116,3982,0,0,0,1,10,750,3,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,12,53,0,3,49500.0,3000,0,99,0,47000.0,0,1,1,0,2500.0,2,0,0,21,1,0,2019,3,0
117,2351,0,0,0,1,4,750,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,12,69,1,0,10500.0,3000,1,162,0,10500.0,0,0,2,0,0.0,0,0,0,18,1,0,2016,2,0
118,3990,0,0,0,1,23,750,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,4,29,1,0,7500.0,2900,0,99,1,7500.0,0,0,1,0,0.0,0,0,0,12,0,0,2012,2,0
119,4004,0,0,0,0,1,750,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,12,23,1,0,5000.0,3000,0,65,0,5000.0,0,0,6,0,0.0,0,0,1,16,1,0,2015,3,0
120,723,0,0,0,1,8,750,2,0,0,0,3,1,0,1,0,0,1,0,0,1,1,1,3,58,0,0,53000.0,3000,0,156,0,28000.0,0,1,4,0,25000.0,2,0,0,18,1,0,2020,4,0
121,2400,0,0,0,0,4,750,2,0,0,0,1,1,0,1,0,0,3,0,0,1,1,0,1,24,0,0,13500.0,3000,0,24,0,13500.0,0,1,4,0,0.0,1,0,1,12,1,0,2018,2,0
122,2413,0,0,0,0,12,750,3,0,0,0,1,1,1,1,0,0,5,1,0,1,0,0,12,38,0,2,4000.0,3000,0,22,0,4000.0,0,1,3,1,0.0,0,0,0,7,1,0,2019,4,0
123,2424,1,0,0,1,28,750,2,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,11,39,1,0,43500.0,2650,1,81,0,13500.0,0,0,3,0,30000.0,0,0,0,17,0,0,2018,1,0
