fraud,driver_relationship_child,policy_state_nv,authorities_contacted_fire,collision_type_front,incident_day,policy_deductable,num_vehicles_involved,num_claims_past_year,policy_state_wa,policy_state_id,policy_liability,incident_type_collision,collision_type_side,customer_gender_female,authorities_contacted_ambulance,driver_relationship_na,num_insurers_past_5_years,policy_state_az,incident_type_theft,authorities_contacted_police,policy_state_ca,num_injuries,incident_month,customer_age,authorities_contacted_none,num_witnesses,total_claim_amount,policy_annual_premium,customer_gender_male,months_as_customer,driver_relationship_spouse,vehicle_claim,policy_state_or,police_report_available,incident_dow,injury_claim,incident_severity,incident_type_breakin,collision_type_rear,incident_hour,driver_relationship_self,driver_relationship_other,auto_year,customer_education,collision_type_na
0,0,0,0,1,20,750,1,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,4,56,0,1,21500.0,3000,1,114,0,21500.0,0,0,5,0.0,1,0,0,11,1,0,2016,1,0
0,0,0,0,1,29,750,3,0,0,0,3,1,0,1,0,0,1,0,0,1,1,1,7,45,0,1,37000.0,3000,0,78,0,30500.0,0,1,0,6500.0,2,0,0,13,1,0,2009,3,0
0,0,0,0,0,25,750,2,1,1,0,3,1,1,0,1,0,1,0,0,0,0,1,3,73,0,0,44500.0,3000,1,76,0,28500.0,0,0,0,16000.0,2,0,0,9,1,0,2013,4,0
0,0,0,0,0,23,750,1,0,0,0,3,0,0,1,0,1,2,1,1,1,0,0,1,24,0,0,10000.0,3000,0,20,0,10000.0,0,0,2,0.0,1,0,0,17,0,0,2016,1,1
0,1,0,0,0,3,750,1,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,6,28,0,0,36854.0,3000,1,83,0,35254.0,0,0,0,1600.0,2,0,1,3,0,0,2017,3,0
0,1,0,0,0,19,750,3,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,10,55,0,1,35500.0,3000,1,83,0,20500.0,0,1,5,15000.0,1,0,0,2,0,0,2017,1,0
0,0,0,0,1,7,750,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,5,36,1,1,8000.0,2700,1,85,0,8000.0,0,0,1,0.0,0,0,0,13,1,0,2018,4,0
0,0,1,0,0,12,750,2,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,6,53,0,0,50789.0,2700,1,82,0,14589.0,0,1,2,36200.0,1,0,0,10,1,0,2012,3,0
0,0,0,0,1,29,750,2,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,10,69,1,0,15500.0,3000,1,455,0,15500.0,0,0,1,0.0,0,0,0,12,1,0,2020,1,0
0,1,0,0,0,18,750,2,0,1,0,3,1,1,0,0,0,1,0,0,0,0,0,12,32,1,0,23263.0,3000,1,32,0,7163.0,0,0,2,16100.0,0,0,0,17,0,0,2012,3,0
0,0,0,0,0,28,750,3,0,0,0,3,1,0,1,0,0,1,0,0,1,1,1,12,68,0,0,23066.0,2950,0,226,1,21666.0,0,1,5,1400.0,2,0,1,9,0,0,2013,3,0
0,0,0,0,1,21,750,3,0,0,0,0,1,0,0,0,0,1,0,0,1,1,4,11,52,0,1,33000.0,3000,1,140,0,29500.0,0,1,3,3500.0,2,0,0,12,1,0,2016,3,0
0,0,0,0,1,18,750,3,0,0,0,0,1,0,1,0,0,2,0,0,1,1,0,2,26,0,3,16291.0,2700,0,12,0,10691.0,0,1,0,5600.0,0,0,0,14,1,0,2019,3,0
0,0,0,0,0,12,750,3,0,0,0,2,1,0,0,0,0,1,1,0,1,0,0,8,31,0,2,3500.0,3000,1,42,0,3500.0,0,1,0,0.0,0,0,1,13,1,0,2019,3,0
0,0,1,0,1,15,750,3,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,7,55,0,0,31780.0,2850,0,80,0,7380.0,0,1,0,24400.0,1,0,0,8,1,0,2019,1,0
0,0,0,1,0,25,750,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,7,35,0,2,36000.0,3000,1,176,0,34000.0,0,0,3,2000.0,2,0,1,10,1,0,2020,2,0
0,0,0,0,0,12,750,3,0,0,0,2,1,0,0,0,0,1,0,0,1,1,1,9,54,0,0,44500.0,3000,1,189,0,41000.0,0,1,3,3500.0,2,0,1,12,1,0,2015,1,0
0,0,0,0,0,8,750,3,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,7,37,0,1,24241.0,3000,0,146,0,22841.0,0,1,0,1400.0,2,0,0,18,1,0,2011,4,0
0,0,0,0,0,7,750,2,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,54,0,1,2500.0,3000,1,118,0,2500.0,0,1,0,0.0,1,0,1,18,1,0,2010,3,0
0,1,0,0,0,10,750,3,0,0,0,3,1,1,1,0,0,1,0,0,1,1,0,2,48,0,2,11609.0,3000,0,176,0,5709.0,0,1,6,5900.0,0,0,0,17,0,0,2015,3,0
0,0,0,0,1,18,750,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,3,47,1,0,12855.0,3000,1,53,0,6655.0,1,0,0,6200.0,0,0,0,17,1,0,2016,3,0
0,0,0,0,1,13,750,2,0,0,0,1,1,0,0,0,0,3,0,0,1,1,0,11,61,0,3,95617.0,2450,1,44,0,24817.0,0,0,2,70800.0,1,0,0,16,1,0,2002,0,0
0,0,0,0,0,10,750,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,6,37,1,0,50282.0,3000,0,87,0,11982.0,0,0,0,38300.0,0,0,0,9,1,0,2017,3,0
0,0,0,0,0,23,750,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,8,72,0,0,50130.0,3000,1,73,0,11130.0,0,0,4,39000.0,1,0,0,3,0,0,2020,1,1
0,0,0,0,0,12,750,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,2,42,1,0,20051.0,3000,1,209,0,16751.0,0,0,1,3300.0,0,0,1,13,1,0,2017,3,0
0,0,0,0,0,7,750,2,0,0,0,3,1,0,1,0,0,1,0,0,1,1,0,1,29,0,1,2500.0,2750,0,86,0,2500.0,0,1,0,0.0,1,0,1,18,1,0,2007,3,0
0,0,0,0,1,11,750,2,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,48,0,2,44500.0,3000,1,56,1,34000.0,0,1,4,10500.0,2,0,0,17,0,0,2019,1,0
0,0,0,0,1,7,750,3,1,0,0,3,1,0,0,0,0,2,0,0,1,1,0,3,64,0,1,30361.0,3000,1,40,0,24961.0,0,1,3,5400.0,2,0,0,14,1,0,2013,1,0
1,0,0,1,0,20,750,2,0,0,0,1,1,1,0,0,0,3,0,0,0,1,3,1,22,0,1,61000.0,3000,1,7,0,31000.0,0,0,6,30000.0,2,0,0,2,1,0,2017,3,0
0,0,1,0,0,20,750,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,3,42,1,1,8500.0,3000,1,65,0,8500.0,0,0,2,0.0,0,0,0,14,1,0,2009,1,0
0,1,0,0,0,6,750,1,0,0,0,3,1,0,1,0,0,1,0,0,0,1,0,6,64,1,0,12000.0,3000,0,183,0,12000.0,0,0,3,0.0,0,0,1,12,0,0,2020,3,0
0,0,0,0,1,6,750,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,41,1,3,5500.0,3000,1,169,0,5500.0,0,0,2,0.0,0,0,0,4,1,0,2018,3,0
0,0,0,0,0,3,750,2,0,0,0,2,1,0,1,0,0,1,0,0,0,1,0,8,71,1,1,11000.0,3000,0,1,0,11000.0,0,0,5,0.0,0,0,1,6,1,0,2019,4,0
0,0,0,0,0,31,750,1,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,1,42,0,0,4000.0,3000,0,5,0,4000.0,0,0,3,0.0,0,1,0,15,0,0,2018,3,1
0,0,0,0,0,18,750,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,11,29,0,1,5500.0,3000,0,119,0,5500.0,0,0,0,0.0,0,1,0,15,0,0,2013,3,1
0,0,0,0,1,7,750,3,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,10,53,0,0,30933.0,3000,0,161,0,27633.0,0,1,0,3300.0,2,0,0,7,1,0,2016,3,0
0,0,0,0,0,5,750,3,0,0,0,2,1,1,0,0,0,5,0,0,1,1,0,9,22,0,0,8500.0,3000,1,9,0,8500.0,0,1,3,0.0,1,0,0,10,1,0,2013,3,0
0,0,0,0,0,5,750,2,0,0,0,1,1,1,0,0,0,2,0,0,1,1,1,8,26,0,1,34558.0,2700,0,29,0,29458.0,0,0,0,5100.0,2,0,0,17,1,0,2017,1,0
0,0,0,0,0,23,750,1,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,8,43,1,0,7000.0,2650,1,145,0,7000.0,0,0,4,0.0,0,0,0,8,1,0,2018,2,0
0,0,0,0,1,3,750,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,9,63,1,0,16494.0,2950,1,184,0,11994.0,0,0,1,4500.0,0,0,0,12,1,0,2004,2,0
0,0,0,0,0,3,750,1,0,0,0,2,0,0,1,0,1,1,0,0,1,1,0,4,53,0,0,1000.0,3000,0,105,0,1000.0,0,0,2,0.0,0,1,0,4,0,0,2018,3,1
0,0,0,0,0,25,750,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,12,56,0,0,18000.0,2400,0,96,0,18000.0,0,1,2,0.0,0,1,0,6,0,0,2009,3,1
0,0,0,0,0,14,750,1,1,0,0,3,0,0,1,0,1,1,0,0,1,0,0,3,53,0,0,6500.0,3000,0,200,0,6500.0,1,0,3,0.0,0,1,0,11,0,0,2014,3,1
0,0,0,0,1,5,750,1,0,0,0,0,1,0,1,0,0,2,1,0,1,0,0,5,24,0,1,75213.0,3000,0,42,0,13313.0,0,0,6,61900.0,1,0,0,12,1,0,2020,1,0
0,0,0,0,1,1,750,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2,66,1,0,3500.0,2950,0,129,0,3500.0,0,0,4,0.0,0,0,0,8,1,0,2015,4,0
0,0,0,0,0,4,750,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,3,62,0,0,26515.0,2650,0,183,0,18015.0,0,0,0,8500.0,1,0,0,7,0,0,2016,3,1
0,0,0,0,0,18,750,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,12,66,0,0,34000.0,2550,1,162,0,34000.0,0,0,2,0.0,2,0,0,5,1,0,2020,3,0
0,0,0,0,0,17,750,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,11,29,1,0,12627.0,3000,1,80,0,6927.0,0,0,6,5700.0,0,0,0,7,1,0,2014,4,0
0,0,0,0,1,12,750,3,0,0,0,2,1,0,1,0,0,1,0,0,1,1,1,9,33,0,1,41809.0,3000,0,47,0,31909.0,0,1,3,9900.0,2,0,0,12,1,0,2018,4,0
0,0,0,0,1,1,750,2,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,11,42,0,3,66500.0,2800,0,81,0,14500.0,0,1,4,52000.0,1,0,0,13,1,0,2016,4,0
0,0,0,0,0,6,750,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,53,0,0,49440.0,2600,1,185,0,16240.0,0,0,6,33200.0,1,0,0,15,0,0,2016,3,1
0,0,0,0,1,25,750,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,2,31,0,0,16500.0,3000,0,119,0,16500.0,0,0,0,0.0,1,0,0,11,1,0,2014,2,0
0,0,0,0,0,12,750,2,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,2,39,0,0,46500.0,3000,0,171,0,43500.0,0,0,1,3000.0,2,0,0,13,1,0,2019,2,0
0,0,0,0,0,25,750,2,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,11,60,1,0,12000.0,2750,0,149,0,12000.0,0,0,0,0.0,0,0,0,13,1,0,2015,3,0
0,0,0,0,0,13,750,4,0,1,0,2,1,1,1,0,0,1,0,0,1,0,4,12,69,0,5,51933.0,3000,0,78,0,39033.0,0,1,4,12900.0,2,0,0,19,1,0,2020,2,0
0,0,0,0,0,25,750,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,4,59,0,0,22000.0,3000,0,65,1,22000.0,0,0,3,0.0,1,0,0,17,0,0,2006,3,0
0,0,0,0,1,5,750,4,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2,36,0,3,32000.0,3000,1,87,1,32000.0,0,1,1,0.0,2,0,0,16,0,0,2018,1,0
0,0,0,0,1,16,750,3,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,66,0,2,22000.0,3000,0,182,0,22000.0,0,1,2,0.0,2,0,0,3,1,0,2009,4,0
0,0,0,0,0,1,750,3,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,11,66,0,0,26500.0,2750,1,172,0,22500.0,0,1,4,4000.0,1,0,0,14,1,0,2020,3,0
0,0,0,0,0,18,750,2,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,58,1,0,4223.0,3000,1,76,0,1723.0,0,0,0,2500.0,0,0,1,14,1,0,2013,3,0
0,0,0,0,1,10,750,3,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,48,0,0,31882.0,3000,1,178,0,21582.0,0,1,3,10300.0,2,0,0,15,1,0,2020,3,0
0,0,0,0,0,27,750,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,6,35,1,1,8634.0,3000,0,117,0,2234.0,0,0,3,6400.0,0,0,1,4,1,0,2004,4,0
0,0,0,0,0,6,750,3,0,0,0,2,1,1,1,0,0,1,0,0,1,1,0,10,51,0,2,38000.0,3000,0,78,0,38000.0,0,1,6,0.0,2,0,0,18,1,0,2014,3,0
0,0,0,0,1,15,750,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,9,39,1,1,14500.0,3000,0,66,0,14500.0,0,0,6,0.0,0,0,0,17,1,0,2008,4,0
0,0,0,0,0,21,750,1,0,0,0,3,0,0,1,0,1,1,0,0,1,1,0,10,18,0,0,11702.0,3000,0,6,0,9302.0,0,0,0,2400.0,0,1,0,15,0,0,2017,1,1
0,0,1,0,1,25,750,3,0,0,0,2,1,0,1,0,0,1,0,0,1,0,3,10,54,0,1,45500.0,3000,0,133,0,37000.0,0,1,4,8500.0,2,0,0,12,1,0,2009,1,0
0,0,0,0,0,28,750,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,12,65,1,0,10500.0,2550,1,86,0,10500.0,0,0,5,0.0,0,0,0,11,1,0,2018,1,0
0,0,0,0,1,12,750,1,0,1,0,2,1,0,1,0,0,1,0,0,1,0,0,10,37,0,0,20825.0,2900,0,142,0,15125.0,0,0,5,5700.0,1,0,0,6,1,0,2015,4,0
0,0,0,0,0,9,750,2,0,0,0,1,1,0,1,0,0,2,0,0,1,1,1,5,25,0,1,15405.0,3000,0,24,0,8905.0,0,0,3,6500.0,1,0,1,8,1,0,2016,3,0
0,0,0,0,1,25,750,3,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,10,37,0,2,57500.0,3000,1,131,1,43500.0,0,1,4,14000.0,2,0,0,8,0,0,2018,1,0
0,0,0,0,0,29,750,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,10,50,0,0,6500.0,3000,1,201,0,6500.0,0,0,1,0.0,1,0,0,16,0,0,2014,0,1
0,0,0,0,0,27,750,2,0,0,0,3,1,0,1,0,0,3,1,0,1,0,0,8,33,0,2,38439.0,3000,0,46,0,21039.0,0,1,1,17400.0,1,0,1,13,1,0,2020,3,0
0,0,0,0,0,10,750,1,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,3,29,0,0,23470.0,3000,1,129,0,14570.0,0,0,6,8900.0,0,1,0,7,0,0,2019,3,1
0,0,0,0,0,22,750,1,0,0,0,0,0,0,1,0,1,5,0,0,0,1,0,12,19,1,0,8500.0,3000,0,5,0,8500.0,0,0,6,0.0,0,1,0,7,0,0,2015,1,1
0,0,0,0,0,8,750,1,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,8,32,0,0,12751.0,2900,0,34,0,9051.0,0,0,3,3700.0,1,1,0,18,0,0,2011,1,1
0,0,0,0,0,29,750,2,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,9,39,0,0,25000.0,3000,0,61,0,25000.0,0,1,6,0.0,1,0,1,11,1,0,2015,3,0
0,0,0,0,0,1,750,2,1,0,1,2,1,0,1,0,0,1,0,0,1,0,1,4,37,0,2,39622.0,3000,0,60,1,21622.0,0,1,0,18000.0,1,0,1,9,0,0,2016,2,0
0,0,0,0,1,22,750,3,0,0,0,0,1,0,1,0,0,2,0,0,1,1,0,1,40,0,3,12500.0,3000,0,59,1,12500.0,0,1,1,0.0,0,0,0,12,0,0,2005,4,0
0,0,0,0,1,12,750,2,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,5,33,1,0,1000.0,2850,0,115,0,1000.0,0,0,6,0.0,0,0,0,4,1,0,2015,3,0
1,0,0,0,0,13,750,2,0,0,0,1,1,0,0,0,0,3,0,0,1,1,0,9,40,0,0,22057.0,3000,1,40,0,16357.0,0,1,4,5700.0,1,0,1,16,1,0,2017,1,0
0,0,0,0,0,18,750,1,0,1,0,2,0,0,0,0,1,4,0,1,1,0,0,10,47,0,0,18000.0,2900,1,12,0,18000.0,0,0,4,0.0,1,0,0,9,0,0,2013,4,1
0,0,0,0,0,3,750,2,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,8,32,1,2,65207.0,3000,0,83,0,11107.0,0,0,5,54100.0,0,0,1,4,1,0,2018,3,0
0,0,0,0,1,12,750,4,1,1,0,1,1,0,0,0,0,1,0,0,1,0,4,6,50,0,1,50500.0,3000,1,82,0,40500.0,0,1,2,10000.0,2,0,0,7,1,0,2018,2,0
0,0,0,0,0,2,750,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,9,51,0,0,13500.0,3000,1,40,0,13500.0,0,0,0,0.0,0,1,0,21,0,0,2016,4,1
0,0,0,0,0,21,750,1,0,0,0,3,0,0,1,0,1,1,0,0,1,1,0,1,35,0,0,20407.0,3000,0,137,0,11307.0,0,0,0,9100.0,0,1,0,14,0,0,2016,4,1
0,0,0,1,1,8,750,2,0,0,0,3,1,0,1,0,0,1,0,0,0,1,4,11,63,0,0,32500.0,2650,0,199,0,21000.0,0,0,4,11500.0,2,0,0,6,1,0,2013,1,0
0,0,0,0,1,3,750,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,11,67,1,1,14000.0,3000,1,196,0,14000.0,0,0,6,0.0,0,0,0,12,1,0,2012,4,0
0,0,0,0,0,16,750,3,0,0,0,2,1,0,0,0,0,3,1,0,1,0,3,5,42,0,0,44500.0,2600,1,44,0,32500.0,0,1,3,12000.0,2,0,1,8,1,0,2018,1,0
0,0,0,0,0,29,750,2,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,9,40,0,1,15500.0,3000,0,47,0,15500.0,0,1,6,0.0,0,0,1,3,1,0,2016,3,0
1,0,0,0,0,17,750,3,0,0,0,2,1,0,1,0,0,1,0,0,1,1,0,9,69,0,1,21737.0,2800,0,220,0,16137.0,0,1,1,5600.0,1,0,1,12,1,0,2015,3,0
0,0,0,0,0,27,750,1,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,6,39,0,0,5000.0,3000,1,47,0,5000.0,0,0,3,0.0,0,1,0,19,0,0,2016,3,1
0,0,0,0,1,30,750,2,0,1,0,2,1,0,0,0,0,4,0,0,0,0,0,4,40,1,3,12993.0,2650,1,20,1,6693.0,0,0,1,6300.0,0,0,0,1,0,0,2014,4,0
0,0,0,0,0,15,750,2,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,3,53,0,0,19251.0,2450,1,152,0,16951.0,0,0,4,2300.0,1,0,1,9,1,0,2012,3,0
0,0,0,0,0,21,750,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,5,57,0,1,13500.0,3000,1,133,0,13500.0,0,0,1,0.0,1,0,0,10,0,0,2016,1,1
0,0,0,0,0,30,750,1,0,0,0,3,0,0,0,0,1,1,0,1,1,0,0,12,73,0,0,50012.0,3000,1,193,0,20712.0,1,0,0,29300.0,1,0,0,9,0,0,2020,1,1
0,0,0,0,1,12,750,3,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,3,25,0,1,56000.0,3000,1,11,0,31000.0,0,1,1,25000.0,2,0,0,10,1,0,2020,1,0
0,0,0,0,0,29,750,1,0,0,0,2,0,0,1,0,1,2,0,0,1,1,0,3,39,0,0,28972.0,3000,0,14,0,17172.0,0,0,4,11800.0,1,1,0,8,0,0,2019,2,1
0,0,0,0,0,13,750,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,11,49,1,0,319201.0,3000,1,138,0,8201.0,0,0,2,311000.0,0,0,1,9,1,0,2012,3,0
0,0,0,0,1,5,750,2,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,3,65,0,0,66214.0,2800,1,342,1,21014.0,1,0,1,45200.0,1,0,0,2,0,0,2016,4,0
0,0,0,0,0,6,750,1,0,0,0,3,0,0,0,0,1,1,0,1,1,1,1,12,75,0,0,26500.0,2500,1,139,0,13500.0,0,0,4,13000.0,1,0,0,16,0,0,2018,3,1
0,0,0,0,0,24,750,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,2,34,1,0,21906.0,2900,1,22,0,10906.0,0,0,6,11000.0,0,0,1,5,1,0,2020,4,0
0,1,0,0,1,26,750,3,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,6,54,0,3,51872.0,2900,1,129,0,21972.0,0,1,2,29900.0,1,0,0,14,0,0,2017,4,0
0,0,0,0,0,26,750,4,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,2,55,0,2,36674.0,3000,1,231,0,35274.0,0,1,1,1400.0,2,0,1,10,1,0,2019,1,0
0,0,0,0,0,18,750,3,0,0,0,2,1,1,1,0,0,1,0,0,1,1,0,7,48,0,3,50437.0,2850,0,122,0,41937.0,0,1,3,8500.0,2,0,0,14,0,1,2020,3,0
0,0,0,0,1,13,750,3,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,10,55,0,1,62326.0,3000,1,154,0,38626.0,1,1,6,23700.0,2,0,0,10,1,0,2018,1,0
0,0,0,0,0,5,750,2,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,8,62,0,1,34558.0,3000,0,176,0,29458.0,0,0,0,5100.0,2,0,0,17,1,0,2015,1,0
0,0,0,1,1,24,750,2,0,1,0,3,1,0,0,0,0,1,0,0,0,0,1,3,29,0,0,41500.0,3000,1,52,0,34500.0,0,0,6,7000.0,2,0,0,11,1,0,2014,3,0
0,0,0,0,1,13,750,3,0,0,0,3,1,0,0,0,0,1,0,0,1,1,0,2,41,0,2,6727.0,3000,1,121,0,2027.0,0,1,2,4700.0,0,0,0,17,1,0,2010,4,0
0,0,0,0,0,19,750,1,0,0,0,3,0,0,0,0,1,3,0,0,1,0,0,8,45,0,0,24902.0,3000,1,37,0,12202.0,1,0,0,12700.0,0,1,0,6,0,0,2014,3,1
0,0,0,0,0,15,750,2,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,45,0,1,21151.0,3000,1,183,0,11351.0,0,0,1,9800.0,1,0,0,17,0,1,2012,4,0
0,0,0,0,0,14,750,3,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,8,48,0,3,45325.0,2750,1,230,0,11725.0,0,1,2,33600.0,1,0,0,5,0,1,2011,4,0
1,0,0,0,0,26,750,1,0,1,0,2,0,0,0,0,1,1,0,0,1,0,0,3,65,0,0,15047.0,3000,1,332,0,8247.0,0,0,1,6800.0,0,1,0,12,0,0,2019,3,1
0,1,1,0,1,8,750,2,0,0,0,3,1,0,1,0,0,1,0,0,1,0,3,5,48,0,0,19364.0,3000,0,196,0,16264.0,0,1,2,3100.0,1,0,0,13,0,0,2018,1,0
0,0,1,0,1,3,750,2,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,8,46,1,0,11409.0,3000,1,33,0,10309.0,0,0,5,1100.0,0,0,0,15,1,0,2018,2,0
