policy_id,customer_age,months_as_customer,num_claims_past_year,num_insurers_past_5_years,policy_state,policy_deductable,policy_annual_premium,policy_liability,customer_zip,customer_gender,customer_education,auto_year
59,43,140,0,1,CA,750,2650,25/50,92886,Male,Bachelor,2011
60,60,148,0,1,CA,750,3000,15/30,92203,Female,Bachelor,2018
61,46,148,0,1,CA,750,3000,25/50,94541,Female,Bachelor,2018
62,38,78,0,1,CA,750,3000,25/50,90006,Female,High School,2020
63,46,56,0,2,WA,750,3000,30/60,98004,Female,Bachelor,2019
64,40,47,0,3,CA,750,3000,25/50,94404,Male,High School,2019
65,51,23,0,2,CA,750,3000,30/60,95355,Female,Bachelor,2020
66,34,64,0,1,CA,750,2900,25/50,94598,Female,Advanced Degree,2013
67,28,19,0,2,CA,750,3000,100/200,90630,Male,Bachelor,2019
68,34,97,0,1,CA,750,3000,25/50,95670,Male,High School,2019
69,62,249,0,1,NV,750,2650,25/50,89129,Female,Advanced Degree,2017
70,51,106,0,1,CA,750,3000,15/30,94544,Female,Advanced Degree,2009
71,33,80,0,1,CA,750,3000,15/30,91352,Female,Bachelor,2016
72,54,64,0,1,CA,850,2550,15/30,93033,Female,Bachelor,2015
73,46,76,0,1,CA,750,3000,15/30,92084,Male,High School,2018
74,63,136,0,1,CA,750,3000,15/30,95864,Male,Advanced Degree,2014
75,30,33,0,4,CA,750,3000,30/60,92647,Male,Bachelor,2015
76,37,84,0,1,CA,750,2800,15/30,94561,Male,Advanced Degree,2010
77,36,139,0,1,CA,750,2850,15/30,93436,Male,Associate,2011
78,50,188,0,1,AZ,750,3000,15/30,85028,Male,Associate,2015
79,49,85,0,1,CA,750,2600,25/50,93010,Female,Advanced Degree,2009
80,44,75,0,1,AZ,750,3000,25/50,85323,Female,Bachelor,2019
81,39,18,0,2,NV,750,3000,100/200,89169,Male,High School,2016
82,36,49,1,2,NV,750,3000,30/60,89108,Male,High School,2017
83,37,35,0,3,CA,750,2750,15/30,95209,Male,Bachelor,2014
84,28,32,0,3,AZ,750,3000,15/30,85364,Female,High School,2014
85,41,61,0,1,CA,750,3000,15/30,90037,Male,Bachelor,2020
86,52,120,1,1,CA,750,3000,15/30,94131,Male,Bachelor,2015
87,47,104,0,1,OR,750,2900,30/60,97701,Unkown,Bachelor,2018
88,49,129,0,1,CA,750,3000,15/30,94080,Female,Associate,2016
89,43,115,0,1,CA,750,3000,15/30,92253,Male,Advanced Degree,2012
90,43,135,0,1,CA,750,2750,25/50,93308,Male,High School,2011
91,45,32,0,1,CA,750,3000,15/30,91204,Male,Bachelor,2015
92,40,17,0,5,OR,750,3000,100/200,97333,Female,High School,2019
93,50,70,0,1,CA,750,2700,30/60,92706,Female,Bachelor,2013
94,43,52,0,1,WA,750,3000,30/60,98006,Male,Advanced Degree,2017
95,21,37,0,3,NV,750,2650,25/50,89108,Female,Associate,2016
96,67,495,0,1,WA,750,2650,25/50,98087,Male,Bachelor,2017
97,59,237,0,1,OR,750,3000,25/50,97220,Male,Bachelor,2019
98,60,190,0,1,CA,750,3000,15/30,91730,Male,Advanced Degree,2017
99,26,66,0,1,CA,750,3000,15/30,95117,Female,Advanced Degree,2014
100,56,135,0,1,CA,750,3000,15/30,94115,Male,Advanced Degree,2019
101,24,52,1,1,WA,750,3000,30/60,98662,Male,Bachelor,2020
102,33,24,0,2,CA,750,3000,15/30,92131,Male,Advanced Degree,2016
103,46,161,0,1,WA,750,3000,30/60,98001,Male,High School,2015
104,34,44,0,1,CA,750,3000,25/50,91423,Female,High School,2019
105,45,98,0,1,CA,750,3000,30/60,94560,Male,High School,2012
106,23,28,0,2,CA,750,3000,30/60,93436,Male,Associate,2016
107,53,225,0,1,CA,750,2850,15/30,92886,Female,Bachelor,2019
108,26,34,0,3,NV,750,3000,30/60,89106,Female,Advanced Degree,2015
109,28,66,1,1,WA,750,3000,30/60,98027,Female,Bachelor,2016
110,38,93,0,1,CA,750,2700,30/60,94610,Female,Bachelor,2018
111,60,98,0,1,CA,750,3000,25/50,90036,Male,Bachelor,2015
112,19,11,0,4,CA,750,3000,15/30,90063,Female,High School,2018
113,49,108,0,1,CA,750,3000,15/30,91962,Female,Bachelor,2018
114,70,214,0,1,CA,750,3000,25/50,93255,Male,Advanced Degree,2018
115,48,77,0,1,WA,750,3000,100/200,99362,Other,Bachelor,2015
116,49,133,0,1,CA,750,3000,30/60,90275,Male,Bachelor,2019
117,60,166,0,1,CA,750,3000,15/30,92647,Unkown,Bachelor,2017
118,19,3,0,5,AZ,750,2750,30/60,85351,Female,High School,2015
119,18,7,3,2,AZ,750,3000,25/50,85719,Female,High School,2017
120,54,175,0,1,CA,750,3000,25/50,94103,Unkown,Bachelor,2016
121,50,239,0,1,CA,750,3000,15/30,95006,Female,Bachelor,2019
122,49,108,0,1,NV,750,3000,30/60,89129,Male,Bachelor,2017
123,51,87,0,1,AZ,750,2600,25/50,85262,Male,Advanced Degree,2020
124,30,58,1,1,AZ,750,3000,15/30,85364,Male,Associate,2020
125,49,73,0,1,CA,750,3000,30/60,95409,Male,Associate,2018
126,50,77,0,1,CA,750,2850,15/30,93035,Female,Advanced Degree,2014
127,30,17,0,3,CA,750,3000,25/50,93446,Male,Bachelor,2016
128,53,79,0,1,CA,750,3000,15/30,92108,Male,Bachelor,2017
129,20,30,0,3,CA,750,3000,15/30,93313,Female,Associate,2016
130,57,170,0,1,CA,750,3000,15/30,93612,Female,Associate,2015
131,25,77,0,1,ID,750,3000,30/60,83706,Male,Bachelor,2017
132,60,210,1,1,CA,750,3000,30/60,93247,Male,High School,2020
133,67,100,0,1,WA,750,3000,25/50,98092,Male,Advanced Degree,2018
134,28,47,1,3,OR,750,3000,25/50,97322,Female,Bachelor,2014
135,63,149,2,1,CA,750,3000,15/30,92008,Male,High School,2017
136,52,20,0,2,CA,750,2450,25/50,90265,Female,Bachelor,2012
137,60,161,0,1,CA,750,3000,25/50,95070,Male,Bachelor,2020
138,39,42,0,2,OR,750,2650,25/50,97017,Male,High School,2016
139,29,112,0,1,WA,750,3000,30/60,98502,Unkown,Associate,2013
140,26,40,0,1,CA,750,3000,15/30,95993,Male,Bachelor,2016
141,28,74,0,1,AZ,750,3000,25/50,85027,Male,Bachelor,2015
142,42,91,0,1,CA,750,3000,15/30,91501,Male,Bachelor,2019
143,51,117,0,1,CA,750,2900,25/50,94567,Female,Bachelor,2013
144,50,52,0,1,CA,750,3000,30/60,90291,Female,Bachelor,2017
145,61,130,0,1,AZ,750,3000,15/30,85736,Male,Bachelor,2013
146,44,36,0,3,CA,750,3000,30/60,90001,Male,Bachelor,2019
147,39,36,0,1,CA,750,3000,15/30,95370,Male,Bachelor,2013
148,57,108,0,1,CA,750,2600,100/200,90201,Female,Associate,2018
149,27,45,0,3,CA,750,3000,15/30,95621,Female,Advanced Degree,2016
150,23,32,0,4,AZ,750,3000,30/60,85746,Female,Bachelor,2017
151,54,88,0,1,CA,750,3000,15/30,93001,Female,Advanced Degree,2020
152,40,95,0,1,CA,750,3000,15/30,94601,Male,Bachelor,2016
153,58,127,0,1,OR,750,3000,30/60,97026,Male,High School,2016
154,53,54,0,1,WA,750,3000,30/60,98042,Male,Bachelor,2017
155,43,72,0,1,CA,750,2800,25/50,92223,Male,Bachelor,2010
156,27,83,0,1,CA,750,3000,15/30,92883,Male,Bachelor,2011
157,35,96,0,1,CA,750,3000,25/50,95301,Female,Bachelor,2017
158,61,140,0,1,AZ,750,3000,15/30,85323,Female,Advanced Degree,2019
159,48,242,0,1,WA,750,3000,30/60,98532,Unkown,Bachelor,2014
160,19,7,0,3,CA,750,3000,25/50,94063,Male,High School,2007
161,47,65,0,1,AZ,750,3000,15/30,85750,Female,High School,2018
162,52,71,0,1,CA,750,3000,30/60,94598,Female,Advanced Degree,2009
163,26,64,0,1,AZ,750,2750,30/60,86409,Female,Advanced Degree,2013
164,47,98,0,1,CA,750,3000,15/30,90019,Male,Bachelor,2013
165,45,73,0,1,CA,750,2950,15/30,91367,Male,Associate,2013
166,21,23,0,3,AZ,750,3000,25/50,86301,Male,Bachelor,2011
167,51,59,0,1,CA,750,3000,25/50,94801,Male,High School,2014
168,55,123,0,1,WA,750,2750,25/50,98122,Female,Bachelor,2011
169,66,322,0,1,WA,750,2500,30/60,99344,Male,High School,2007
170,65,407,0,1,WA,750,3000,100/200,99022,Male,Bachelor,2020
171,25,50,0,2,AZ,750,3000,15/30,85020,Female,Bachelor,2019
172,54,50,0,1,CA,750,2650,30/60,95018,Female,Bachelor,2020
173,54,135,0,1,OR,750,3000,100/200,97477,Female,Bachelor,2017
174,54,53,0,2,CA,750,3000,25/50,91504,Female,Advanced Degree,2017
175,55,151,0,1,CA,750,3000,15/30,94014,Male,High School,2019
176,67,259,0,1,CA,750,3000,15/30,95835,Male,Bachelor,2016
177,63,184,0,1,OR,750,3000,25/50,97402,Male,High School,2015
178,57,66,0,1,CA,750,3000,25/50,95023,Female,High School,2005
179,38,51,0,1,WA,750,3000,30/60,98032,Unkown,High School,2015
180,59,66,0,1,CA,750,2800,30/60,94521,Male,Bachelor,2013
181,29,86,0,1,CA,750,2750,100/200,91360,Female,Bachelor,2007
182,39,105,0,1,NV,750,2650,30/60,89027,Male,Advanced Degree,2012
183,34,51,0,1,CA,750,3000,30/60,93036,Female,Bachelor,2016
184,46,99,0,1,WA,750,3000,25/50,98665,Male,High School,2016
185,58,88,0,1,CA,750,3000,15/30,93023,Male,Bachelor,2020
186,35,107,0,1,AZ,750,3000,15/30,86301,Female,High School,2016
187,66,103,0,1,AZ,750,3000,15/30,85541,Female,Bachelor,2015
188,45,63,0,1,CA,750,3000,25/50,90630,Female,High School,2015
189,22,28,0,3,CA,750,2950,15/30,95667,Male,Associate,2019
190,30,52,0,2,CA,750,2800,15/30,90808,Male,Bachelor,2019
191,58,161,0,1,CA,750,3000,30/60,94565,Male,Advanced Degree,2015
192,29,110,0,1,WA,750,3000,100/200,98052,Female,Bachelor,2020
193,48,24,0,2,CA,750,3000,15/30,96145,Unkown,Advanced Degree,2010
194,45,69,0,1,AZ,750,3000,15/30,85212,Male,High School,2015
195,31,127,0,1,CA,750,2700,25/50,92703,Male,Advanced Degree,2019
196,57,110,0,1,CA,750,3000,15/30,92626,Female,Bachelor,2013
197,48,229,0,1,CA,750,2400,30/60,90402,Male,High School,2003
198,31,67,0,1,CA,750,3000,25/50,92701,Female,Associate,2014
199,61,68,0,1,CA,750,2700,15/30,90805,Male,High School,2009
200,28,92,1,1,CA,750,3000,25/50,94941,Female,Bachelor,2019
201,42,48,0,2,ID,750,3000,25/50,83854,Female,High School,2007
202,54,181,0,1,ID,750,3000,100/200,83713,Female,Bachelor,2017
203,61,62,0,1,CA,750,3000,25/50,92508,Female,Advanced Degree,2018
204,20,19,0,2,CA,750,3000,100/200,90002,Male,Below High School,2016
205,37,29,0,2,NV,750,3000,25/50,89012,Female,Bachelor,2011
206,35,58,0,2,AZ,750,3000,15/30,85301,Female,Bachelor,2015
207,31,72,0,1,CA,750,3000,15/30,94062,Male,Advanced Degree,2011
208,52,202,0,1,AZ,750,3000,30/60,85719,Male,Bachelor,2017
209,19,9,1,1,CA,750,3000,25/50,93405,Male,High School,2017
210,62,125,0,1,CA,750,2500,30/60,95932,Female,Bachelor,2014
211,65,42,0,3,CA,750,2850,15/30,92701,Male,High School,2018
212,34,117,0,1,WA,750,3000,25/50,98444,Female,High School,2016
213,69,106,0,1,CA,750,3000,15/30,91702,Male,Bachelor,2017
214,30,66,0,1,CA,750,3000,25/50,92110,Female,High School,2014
215,53,96,0,1,OR,750,3000,100/200,97402,Male,Bachelor,2017
216,59,140,4,1,AZ,750,3000,25/50,85351,Male,Associate,2014
217,25,9,0,3,CA,750,3000,15/30,92223,Female,Bachelor,2014
218,43,134,0,1,WA,750,3000,30/60,98036,Female,High School,2018
219,24,15,0,2,WA,750,3000,25/50,98204,Male,Advanced Degree,2013
220,39,62,0,1,CA,750,3000,25/50,90042,Male,Advanced Degree,2014
221,19,21,0,3,CA,750,2900,15/30,93280,Male,High School,2013
222,35,56,0,2,CA,750,2850,30/60,92069,Female,Associate,2012
223,47,178,0,1,NV,750,3000,30/60,89115,Female,Bachelor,2019
224,67,135,0,1,AZ,750,2950,25/50,85340,Female,High School,2016
225,44,96,0,1,CA,750,3000,15/30,93291,Female,Associate,2020
226,24,37,0,1,CA,750,3000,15/30,93307,Female,High School,2011
227,53,116,0,1,OR,750,3000,25/50,97266,Male,Advanced Degree,2014
228,48,84,0,1,WA,750,3000,30/60,98338,Unkown,Advanced Degree,2018
229,32,54,0,1,CA,750,2850,15/30,95051,Female,Bachelor,2010
230,45,97,0,1,CA,750,3000,30/60,92627,Male,Bachelor,2017
231,36,62,1,1,AZ,750,3000,30/60,85320,Male,Advanced Degree,2015
232,46,49,0,1,CA,750,2750,15/30,95993,Male,Advanced Degree,2016
233,57,162,0,1,CA,750,3000,25/50,91311,Male,Advanced Degree,2017
234,19,14,0,5,CA,750,3000,25/50,94520,Female,High School,2005
235,41,133,0,1,WA,750,3000,25/50,98321,Female,High School,2020
236,56,138,0,1,CA,750,2450,15/30,95111,Female,Bachelor,2014
237,50,384,0,1,WA,750,3000,25/50,98260,Female,Bachelor,2019
238,32,71,0,1,CA,750,2700,30/60,92020,Female,Below High School,2015
239,40,89,0,1,WA,750,3000,25/50,98103,Female,High School,2017
240,34,85,0,1,CA,750,3000,25/50,95323,Male,Advanced Degree,2014
241,32,16,0,5,CA,750,3000,30/60,94503,Male,Advanced Degree,2014
242,61,37,0,3,CA,750,3000,25/50,90247,Female,Associate,2016
243,51,133,0,1,WA,750,3000,100/200,98626,Male,Advanced Degree,2012
244,30,11,0,5,AZ,750,2900,25/50,85015,Male,Bachelor,2017
245,62,126,0,1,WA,750,3000,25/50,98074,Female,Advanced Degree,2016
246,50,25,0,3,CA,750,3000,30/60,93309,Female,Bachelor,2016
247,60,184,0,1,CA,750,3000,15/30,92617,Male,High School,2019
248,57,239,1,1,CA,750,3000,100/200,95123,Female,Bachelor,2015
249,27,63,0,1,CA,750,3000,25/50,93455,Female,Bachelor,2015
250,33,119,0,1,WA,750,3000,100/200,99336,Male,Bachelor,2015
251,59,154,0,1,CA,750,3000,15/30,95203,Male,High School,2017
252,56,133,0,1,CA,750,2700,15/30,92111,Unkown,Advanced Degree,2020
253,44,3,0,2,OR,750,3000,25/50,97504,Male,High School,2018
254,46,84,0,1,WA,750,3000,25/50,99022,Male,High School,2017
255,70,127,0,1,WA,750,2950,30/60,99337,Female,Bachelor,2018
256,32,55,0,2,AZ,750,3000,15/30,85008,Female,Bachelor,2018
257,55,47,0,3,CA,750,3000,25/50,95336,Male,Bachelor,2007
258,40,38,0,2,AZ,750,3000,25/50,85021,Male,Bachelor,2016
259,40,231,0,1,CA,750,3000,25/50,92867,Male,Bachelor,2013
260,66,99,0,1,CA,750,2750,30/60,92398,Unkown,Bachelor,2020
261,61,45,0,3,CA,750,2650,15/30,95618,Male,Bachelor,2016
262,60,204,0,1,CA,750,2800,15/30,92363,Female,High School,2013
263,70,138,0,1,CA,950,3000,15/30,93313,Unkown,Bachelor,2018
264,44,109,0,1,CA,750,3000,15/30,94109,Male,Advanced Degree,2012
265,58,95,0,1,ID,750,3000,25/50,83201,Unkown,Below High School,2011
266,38,68,0,1,AZ,750,3000,100/200,85349,Unkown,Bachelor,2018
267,50,223,0,1,ID,750,3000,25/50,83642,Female,Advanced Degree,2012
268,41,38,0,2,AZ,750,3000,15/30,85349,Male,Associate,2014
269,46,148,1,1,NV,750,3000,30/60,89029,Female,Bachelor,2017
270,56,229,0,1,CA,750,3000,100/200,90059,Female,Advanced Degree,2018
271,28,114,0,1,CA,750,3000,100/200,91304,Unkown,High School,2012
272,24,28,0,2,CA,750,3000,30/60,95304,Male,High School,2016
273,20,21,0,1,WA,750,3000,30/60,98221,Female,Bachelor,2017
274,67,152,0,1,AZ,750,2350,15/30,85262,Male,Advanced Degree,2012
275,60,229,0,1,CA,750,3000,25/50,92313,Male,Bachelor,2013
276,56,41,0,2,CA,750,2800,15/30,94403,Male,Bachelor,2014
277,57,113,0,1,CA,750,2750,15/30,91762,Female,Advanced Degree,2019
278,44,98,0,1,CA,750,3000,100/200,90220,Female,Bachelor,2015
279,26,87,0,1,WA,750,3000,25/50,98229,Female,High School,2017
280,46,64,0,1,CA,750,3000,25/50,94521,Unkown,Below High School,2008
281,30,133,0,1,OR,750,3000,30/60,97702,Male,Bachelor,2018
282,64,251,0,1,OR,750,3000,25/50,97009,Female,Advanced Degree,2018
283,41,48,0,1,CA,750,3000,15/30,95014,Male,Advanced Degree,2020
284,27,29,0,1,ID,750,3000,100/200,83221,Male,Advanced Degree,2012
285,38,32,0,1,NV,750,3000,30/60,89109,Female,Advanced Degree,2019
286,52,63,0,1,WA,750,3000,25/50,98005,Unkown,Bachelor,2019
287,33,109,0,1,AZ,750,3000,15/30,86004,Female,Bachelor,2019
288,28,87,0,1,CA,750,3000,25/50,94131,Female,Bachelor,2002
289,49,166,0,1,NV,750,3000,30/60,89115,Male,Bachelor,2010
290,49,24,0,2,CA,750,3000,30/60,92243,Male,Bachelor,2019
291,34,29,0,4,OR,750,3000,30/60,97374,Female,High School,2013
292,35,83,1,1,CA,750,3000,25/50,90272,Male,Advanced Degree,2016
293,49,83,0,1,AZ,750,2850,30/60,85040,Male,Bachelor,2014
294,30,39,0,3,CA,750,3000,30/60,95129,Female,Associate,2019
295,40,2,0,2,CA,750,3000,15/30,91355,Male,Bachelor,2014
296,50,163,0,1,NV,750,3000,100/200,89179,Male,Bachelor,2009
297,61,141,1,1,WA,750,3000,25/50,98107,Female,High School,2017
298,41,125,0,1,AZ,750,2700,100/200,85027,Female,Advanced Degree,2018
299,44,29,0,1,CA,750,3000,30/60,95407,Unkown,Associate,2014
300,24,55,0,1,OR,750,2950,25/50,97701,Female,High School,2020
301,44,82,0,1,WA,750,3000,30/60,98445,Male,Bachelor,2013
302,38,120,0,1,CA,750,3000,25/50,92612,Unkown,Bachelor,2016
303,50,167,0,1,AZ,750,3000,100/200,85331,Female,Advanced Degree,2019
304,27,17,0,4,CA,750,2900,25/50,92376,Male,Advanced Degree,2018
305,54,164,0,1,AZ,750,2800,15/30,85705,Male,Advanced Degree,2019
306,42,90,0,1,CA,750,3000,15/30,94560,Female,High School,2019
307,52,85,0,1,CA,750,3000,15/30,95046,Female,High School,2019
308,58,115,0,1,AZ,750,3000,25/50,85308,Female,Bachelor,2020
309,36,73,0,1,WA,750,2600,25/50,98837,Female,Associate,2005
310,48,121,0,1,WA,750,3000,30/60,98055,Female,Advanced Degree,2019
311,44,65,0,1,OR,750,3000,25/50,97007,Unkown,Bachelor,2013
312,46,77,0,1,CA,750,2950,30/60,93720,Female,Advanced Degree,2012
313,29,5,0,4,CA,750,3000,15/30,90502,Male,High School,2019
314,44,58,0,1,CA,750,3000,15/30,93033,Female,Bachelor,2015
315,54,251,0,1,CA,750,3000,15/30,94509,Male,Bachelor,2020
316,63,257,0,1,CA,750,3000,25/50,92374,Female,High School,2018
317,29,101,0,1,WA,750,3000,100/200,98012,Unkown,Bachelor,2018
318,61,295,0,1,CA,750,3000,25/50,95363,Female,Bachelor,2019
319,48,169,0,1,OR,750,3000,25/50,97008,Female,Bachelor,2013
320,28,106,0,1,CA,750,3000,25/50,95460,Female,Associate,2019
321,27,55,0,1,CA,750,2750,15/30,90048,Male,Below High School,2018
322,32,66,0,1,CA,750,3000,15/30,94536,Male,Bachelor,2017
323,33,115,0,1,CA,750,3000,15/30,95628,Female,Associate,2013
324,29,65,1,1,CA,750,3000,15/30,95476,Female,Below High School,2019
325,47,87,0,1,AZ,750,2800,15/30,85925,Female,Associate,2011
326,51,112,0,1,CA,750,3000,30/60,95355,Male,Associate,2019
327,63,206,0,1,CA,750,3000,100/200,92804,Female,Bachelor,2015
328,32,44,0,3,CA,750,2850,15/30,93066,Female,High School,2011
329,26,70,0,1,CA,750,2600,15/30,93550,Female,Bachelor,2012
330,54,127,0,1,AZ,750,3000,15/30,85934,Female,Bachelor,2012
331,18,1,0,3,CA,750,2800,15/30,95122,Female,High School,2020
332,68,145,0,1,CA,750,3000,100/200,94608,Female,Advanced Degree,2017
333,35,124,0,1,CA,750,2850,100/200,94040,Male,Bachelor,2019
334,42,120,0,1,NV,750,3000,25/50,89142,Female,Bachelor,2013
335,69,239,0,1,CA,750,2750,15/30,95624,Male,Advanced Degree,2018
336,32,70,0,1,CA,750,2800,25/50,91342,Unkown,Bachelor,2018
337,44,89,0,1,CA,750,2600,15/30,91342,Male,Bachelor,2018
338,45,147,0,1,AZ,750,3000,25/50,86429,Male,Bachelor,2014
339,35,139,0,1,CA,750,2650,30/60,93041,Female,Bachelor,2011
340,56,36,0,3,CA,750,2550,30/60,92675,Male,Bachelor,2007
341,23,26,1,3,AZ,750,3000,25/50,85743,Female,High School,2016
342,41,140,1,1,CA,750,3000,15/30,95132,Female,Associate,2012
343,46,115,0,1,OR,750,3000,25/50,97071,Female,High School,2014
344,54,64,0,1,CA,750,2900,100/200,91207,Unkown,Associate,2018
345,58,90,0,1,CA,750,3000,15/30,94806,Male,High School,2011
346,22,24,0,2,NV,750,3000,25/50,89431,Female,Bachelor,2005
347,70,153,0,1,CA,750,3000,15/30,91605,Male,Bachelor,2015
348,51,70,0,1,WA,750,3000,25/50,98935,Male,Bachelor,2014
349,29,52,0,2,AZ,750,3000,15/30,85296,Female,Associate,2013
350,46,200,0,1,CA,750,2850,15/30,92630,Male,Advanced Degree,2015
351,68,57,0,2,CA,750,2800,30/60,95973,Female,Bachelor,2018
352,45,197,0,1,CA,750,3000,15/30,92833,Female,Bachelor,2016
353,39,55,0,1,CA,750,2950,25/50,90723,Female,Advanced Degree,2018
354,63,164,0,1,CA,750,3000,100/200,91801,Unkown,Bachelor,2018
355,57,38,0,1,WA,750,3000,100/200,98203,Male,Bachelor,2019
356,25,47,0,1,CA,750,2600,25/50,95822,Female,High School,2015
357,58,173,0,1,WA,750,3000,25/50,98119,Female,Bachelor,2017
358,65,228,0,1,CA,750,3000,15/30,92507,Female,Advanced Degree,2013
359,20,25,0,1,CA,750,3000,30/60,94553,Male,Bachelor,2014
360,39,97,0,1,AZ,750,3000,100/200,85201,Female,Bachelor,2016
361,58,211,0,1,CA,750,3000,15/30,94121,Male,Bachelor,2016
362,45,82,0,1,CA,750,2750,30/60,91367,Male,Advanced Degree,2019
363,43,243,0,1,NV,750,3000,25/50,89102,Female,Associate,2015
364,52,63,0,1,CA,750,3000,15/30,95983,Female,Bachelor,2013
365,43,99,0,1,WA,750,3000,30/60,98225,Unkown,High School,2020
366,42,174,0,1,CA,750,3000,15/30,94526,Female,Bachelor,2018
367,18,6,0,1,CA,750,3000,25/50,95123,Female,High School,2019
368,57,63,0,1,CA,750,3000,15/30,92116,Male,High School,2020
369,51,152,0,1,WA,750,3000,25/50,98223,Male,Bachelor,2016
370,25,40,0,1,NV,750,3000,30/60,89415,Male,Bachelor,2013
371,34,192,0,1,CA,750,3000,15/30,93454,Other,High School,2020
372,23,59,2,1,CA,750,3000,30/60,92139,Male,Bachelor,2020
373,43,124,0,1,CA,750,3000,25/50,94553,Male,High School,2014
374,63,47,0,3,CA,750,3000,100/200,95219,Female,Bachelor,2020
375,24,51,0,2,CA,750,3000,15/30,91709,Male,Bachelor,2015
